n,data_inserimento,partito,valore
1326,2024-09-23,Partito Democratico,23.5
1326,2024-09-23,Forza Italia,9.7
1326,2024-09-23,Fratelli d'Italia,28.4
1326,2024-09-23,Alleanza Verdi Sinistra,6.8
1326,2024-09-23,Lega,8.2
1326,2024-09-23,Movimento 5 Stelle,10.5
1326,2024-09-23,+Europa,2.4
1326,2024-09-23,Azione,3.7
1326,2024-09-23,Italia Viva,3.1
1326,2024-09-23,Altri,2.4
1325,2024-09-23,Partito Democratico,23.6
1325,2024-09-23,Forza Italia,11.0
1325,2024-09-23,Fratelli d'Italia,29.2
1325,2024-09-23,Alleanza Verdi Sinistra,6.5
1325,2024-09-23,Lega,8.2
1325,2024-09-23,Movimento 5 Stelle,10.9
1325,2024-09-23,+Europa,1.7
1325,2024-09-23,Azione,2.8
1325,2024-09-23,Italia Viva,2.0
1325,2024-09-23,Altri,4.1
1324,2024-09-17,Partito Democratico,22.8
1324,2024-09-17,Forza Italia,8.4
1324,2024-09-17,Fratelli d'Italia,30.3
1324,2024-09-17,Alleanza Verdi Sinistra,7.0
1324,2024-09-17,Lega,8.1
1324,2024-09-17,Movimento 5 Stelle,11.7
1324,2024-09-17,+Europa,1.7
1324,2024-09-17,Azione,3.0
1324,2024-09-17,Italia Viva,2.6
1324,2024-09-17,Altri,4.4
1323,2024-09-16,Partito Democratico,23.5
1323,2024-09-16,Forza Italia,9.5
1323,2024-09-16,Fratelli d'Italia,29.2
1323,2024-09-16,Alleanza Verdi Sinistra,6.8
1323,2024-09-16,Lega,8.7
1323,2024-09-16,Movimento 5 Stelle,10.0
1323,2024-09-16,+Europa,1.7
1323,2024-09-16,Azione,3.0
1323,2024-09-16,Italia Viva,2.0
1323,2024-09-16,Altri,1.3
1322,2024-09-16,Partito Democratico,23.6
1322,2024-09-16,Forza Italia,10.9
1322,2024-09-16,Fratelli d'Italia,29.0
1322,2024-09-16,Alleanza Verdi Sinistra,6.7
1322,2024-09-16,Lega,8.3
1322,2024-09-16,Movimento 5 Stelle,10.7
1322,2024-09-16,+Europa,1.8
1322,2024-09-16,Azione,2.9
1322,2024-09-16,Italia Viva,1.9
1322,2024-09-16,Altri,4.2
1321,2024-09-16,Partito Democratico,21.6
1321,2024-09-16,Forza Italia,9.0
