eu_es,ordinanza_attuale,oc_os,regione,prov,comune,cup,cup_master_unico,intervento_nome,soggetto_attuatore,importo_programmato,fase_di_avanzamento_al_22_dicembre_2024,url_opencup,pro_com_t
EU_1000,OC_109,OC,MARCHE,MC,Visso,E63H19000300001,,OPERE DI SOSTEGNO SOPRA ABITAZIONI L.GO GREGORIO XIII,Comune di Visso,827160.0,FA_7 - Inizio lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E63H19000300001,043057
EU_1001,OC_109,OC,MARCHE,MC,Visso,E63H19000280001,,VIA USSITA - CADUTA MASSI,Comune di Visso,1100000.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E63H19000280001,043057
EU_1002,OC_109,OC,MARCHE,MC,Visso,E63H19000290001,,S.P. 209 - CADUTA MASSI,Comune di Visso,1250000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/E63H19000290001,043057
EU_1003,OC_109,OC,MARCHE,AP,Acquasanta Terme,F67H19000580001,,Movimento franoso abitato Collefrattale-Ferroni,Comune di Acquasanta Terme,1200000.0,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F67H19000580001,044001
EU_1004,OC_109,OC,MARCHE,AP,Acquasanta Terme,F67H19000590001,,Dissesto frana codice n. 1471,Comune di Acquasanta Terme,1000000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F67H19000590001,044001
EU_1005,OC_109,OC,MARCHE,AP,Acquasanta Terme,F67H19000600001,,Messa in sicurezza versante Nord centro abitato QUINTODECIMO,Comune di Acquasanta Terme,230000.0,FA_4 - Progetto definitivo / pfte approvato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F67H19000600001,044001
EU_1007,OC_109,OC,MARCHE,AP,Arquata del Tronto,B23H19001140001,,"Opere di consolidamento, risanamento e riduzione del rischio idrogeologico nella frazione di Colle d'Arquata (R4-PAI)",REGIONE MARCHE,2600000.0,FA_8 - Fine lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B23H19001140001,044006
EU_1008,OC_109,OC,MARCHE,FM,Montefortino,B67H18007570005,,DISSESTO VERSANTE NORD-EST DEL CENTRO STORICO CON COINVOLGIMENTO DELLE MURA CASTELLANE,Comune di Montefortino,2150000.0,FA_7 - Inizio lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B67H18007570005,109015
EU_1009,OC_109,OC,MARCHE,FM,Montefortino,B67H18007580005,,"DISSESTO MURAGLIONE LUNGO VIA A. PETETTA, SOTTOSTANTE L'EDIFICIO SCOLASTICO, CON COINVOLGIMENTO DEL MURAGLIONE DEI GIARDINI PUBBLICI",Comune di Montefortino,900000.0,"FA_6 - Avvio procedure per l'aggiudicazione dei lavori",https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/B67H18007580005,109015
EU_1010,OC_109,OC,MARCHE,MC,Bolognola,I83B19000220002,,Intervento completamento dissesto idrogeologico messa in sicurezza villa da piedi,Comune di Bolognola,1750000.0,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/I83B19000220002,043005
EU_1013,OC_109,OC,MARCHE,AN,Fabriano,F99J15000170004,,Palazzo Molajoli,Comune di Fabriano,605204.7,FA_3 - Incarico di progettazione affidato,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F99J15000170004,042017
EU_1014,OC_109,OC,MARCHE,AN,Monte San Vito,F49E19000000001,,Via Congiu Nello,Comune di Monte San Vito,2244300.75,FA_7 - Inizio Lavori,https://www.opencup.gov.it/portale/it/web/opencup/home/progetto/-/cup/F49E19000000001,042030
