n,data_inserimento,partito,valore
1485,2025-04-18,Partito Democratico,22.0
1485,2025-04-18,Forza Italia,11.4
1485,2025-04-18,Fratelli d'Italia,29.9
1485,2025-04-18,Alleanza Verdi Sinistra,5.6
1485,2025-04-18,Lega,8.3
1485,2025-04-18,Movimento 5 Stelle,11.8
1485,2025-04-18,+Europa,1.8
1485,2025-04-18,Azione,3.2
1485,2025-04-18,Italia Viva,2.1
1485,2025-04-18,Altri,3.9
1484,2025-04-15,Partito Democratico,22.0
1484,2025-04-15,Forza Italia,8.8
1484,2025-04-15,Fratelli d'Italia,30.0
1484,2025-04-15,Alleanza Verdi Sinistra,6.4
1484,2025-04-15,Lega,8.7
1484,2025-04-15,Movimento 5 Stelle,12.5
1484,2025-04-15,+Europa,1.9
1484,2025-04-15,Azione,3.6
1484,2025-04-15,Italia Viva,2.7
1484,2025-04-15,Sud Chiama Nord,1.0
1484,2025-04-15,Altri,2.4
1483,2025-04-11,Partito Democratico,22.1
1483,2025-04-11,Forza Italia,11.5
1483,2025-04-11,Fratelli d'Italia,29.7
1483,2025-04-11,Alleanza Verdi Sinistra,5.8
1483,2025-04-11,Lega,8.4
1483,2025-04-11,Movimento 5 Stelle,11.6
1483,2025-04-11,+Europa,1.8
1483,2025-04-11,Azione,3.0
1483,2025-04-11,Italia Viva,2.2
1483,2025-04-11,Altri,3.9
1482,2025-04-08,Partito Democratico,22.3
1482,2025-04-08,Forza Italia,8.9
1482,2025-04-08,Fratelli d'Italia,30.2
1482,2025-04-08,Alleanza Verdi Sinistra,6.2
1482,2025-04-08,Lega,8.7
1482,2025-04-08,Movimento 5 Stelle,12.2
1482,2025-04-08,+Europa,1.8
1482,2025-04-08,Azione,3.8
1482,2025-04-08,Italia Viva,2.5
1482,2025-04-08,Sud Chiama Nord,1.0
1482,2025-04-08,Altri,2.4
1481,2025-04-04,Partito Democratico,22.3
1481,2025-04-04,Forza Italia,11.5
1481,2025-04-04,Fratelli d'Italia,29.7
1481,2025-04-04,Alleanza Verdi Sinistra,6.0
1481,2025-04-04,Lega,8.3
1481,2025-04-04,Movimento 5 Stelle,11.3
1481,2025-04-04,+Europa,1.9
1481,2025-04-04,Azione,2.9
1481,2025-04-04,Italia Viva,2.1
1481,2025-04-04,Altri,4.0
1480,2025-04-01,Partito Democratico,22.5
1480,2025-04-01,Forza Italia,9.1
1480,2025-04-01,Fratelli d'Italia,29.8
1480,2025-04-01,Alleanza Verdi Sinistra,6.0
1480,2025-04-01,Lega,8.4
1480,2025-04-01,Movimento 5 Stelle,11.9
1480,2025-04-01,+Europa,2.0
1480,2025-04-01,Azione,3.9
1480,2025-04-01,Italia Viva,2.6
1480,2025-04-01,Sud Chiama Nord,1.0
1480,2025-04-01,Altri,2.8
1479,2025-03-31,Partito Democratico,22.3
1479,2025-03-31,Forza Italia,11.5
1479,2025-03-31,Fratelli d'Italia,29.7
1479,2025-03-31,Alleanza Verdi Sinistra,5.9
1479,2025-03-31,Lega,8.2
1479,2025-03-31,Movimento 5 Stelle,11.5
1479,2025-03-31,+Europa,1.8
1479,2025-03-31,Azione,3.0
1479,2025-03-31,Italia Viva,2.2
1479,2025-03-31,Altri,3.9
