comune,prov,ocos,ocos_label,eues_id,eues_id_norm,regione,cupxall,codice_usr,denominazione_interventoxall,categoria,importo_programmato_esclusi_oc_126,fase_di_avanzamento_al_30_aprile_2026,cod_istat_comune,ordinanza_attuale,fase_id,fase_label,soggetto_attuatore,cf_piva_soggetto_attuatore
Valfornace,MC,OC,Opere comunali,EU_1885,EU_1885,Marche,C77H21002390001,2946,INTERVENTI DI RIPRISTINO DEI DANNI SISMA DELLA PALESTRA COMUNALE POLIVALENTE,11 - Altre opere pubbliche,924500,FA_4 - Progetto definitivo/PFTE approvato,043058,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI VALFORNACE - MACERATA -,01932550435
Venarotta,AP,OC,Opere comunali,EU_1962,EU_1962,Marche,C63D23000050001,7416,RIPRISTINO PAVIMENTAZIONI E SISTEMAZIONI STRADALI VALLORANO - STRADA INTERNA ALLA FRAZIONE VALLORANO DAL CIVICO 3 AL CIVICO 21,9 - Opere di urbanizzazione e infrastrutture,55883.29,FA_5 - Progetto esecutivo approvato,044073,OC_137,FA_5,Progetto esecutivo approvato,COMUNE DI VENAROTTA - ASCOLI PICENO -,80004310449
Colmurano,MC,OC,Opere comunali,EU_2023,EU_2023,Marche,D88B22000400001,7408,SISMA 2016 - LAVORI DI RESTAURO E RISANAMENTO CONSERVATIVO FONTE ALLUNGO E FONTE ANGERILLO,9 - Opere di urbanizzazione e infrastrutture,400000,FA_4 - Progetto definitivo/PFTE approvato,043014,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI COLMURANO - MACERATA -,00267160430
Ussita,MC,OC,Opere comunali,EU_2217,EU_2217,Marche,C58I16000150003,3767,RICOSTRUZIONE DEL COMPLESSO EDILIZIO EX ECA DISTRUTTO DAL SISMA MEDIANTE UN SISTEMA INSEDIATIVO RICETTIVO ESTENSIVO SU PIATTAFORMA TECNOLOGICA (DA ADIBIRE NELL'IMMEDIATO ALL'ACCOGLIENZA DEGLI OPERATORI DELLA RICOSTRUZIONE E SUCCESSIVAMENTE ALL'ACCOGLIENZA TURISTICA) - Progettazione,12 - Solo Progettazione,280000,FA_3 - Incarico di progettazione affidato,043056,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI USSITA - MC -,81001810431
Muccia,MC,OC,Opere comunali,EU_2958,EU_2958,Marche,E13J19000150001,4884,Realizzazione del marciapiede tra l’area S.A.E. di Pian di Giove e l’area commerciale in Loc. Maddalena,11 - Altre opere pubbliche,120000,FA_9 - Collaudo,043034,OC_48,FA_9,Collaudo,COMUNE DI MUCCIA - MACERATA -,00263210437
Montefranco,TR,OC,Opere comunali,EU_1464,EU_1464,Umbria,F97H22001490001,,Riqualificazione urbana e consolidamento via delle Casaline,9 - Opere di urbanizzazione e infrastrutture,500000,FA_7 - Inizio Lavori,055019,OC_129,FA_7,Inizio lavori,COMUNE DI MONTEFRANCO - TERNI -,00092290550
Montefranco,TR,OC,Opere comunali,EU_1466,EU_1466,Umbria,F97H22001470001,,Consolidamento scarpata ingressi del paese,4 - Dissesti,1000000,FA_7 - Inizio Lavori,055019,OC_129,FA_7,Inizio lavori,COMUNE DI MONTEFRANCO - TERNI -,00092290550
Amatrice,RI,OC,Opere comunali,EU_0202,EU_202,LAZIO,C71E17000290001,P23.0052-0018,Mattatoio Consortile,11 - Altre opere pubbliche,2640000,FA_4 - Progetto definitivo/PFTE approvato,057002,OC_109,FA_4,Progetto definitivo/PFTE approvato,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Rivodutri,RI,OC,Opere comunali,EU_1407,EU_1407,Lazio,F25F21000900001,P23.0047-0061,Consolidamento del muro della scalinata del cimitero di Rivodutri,9 - Opere di urbanizzazione e infrastrutture,88694,FA_4 - Progetto definitivo/PFTE approvato,057060,OC_129,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI RIVODUTRI - RIETI -,00108820572
Farindola,PE,OC,Opere comunali,EU_002523,EU_2523,ABRUZZO,C27H21005460002,ID_N00292,"Ricostruzione del piano viabile, delle pertinenze stradali e della rete di smaltimento acque piovane danneggiate dagli eventi meteo eccezionali del gennaio 2017 - 1° LOTTO FUNZIONALE",9 - Opere di urbanizzazione e infrastrutture,1223320,FA_7 - Inizio lavori,068019,OC_120,FA_7,Inizio lavori,AMMINISTRAZIONE PROVINCIALE DI PESCARA,00212850689
Rocca Santa Maria,TE,OC,Opere comunali,EU_002533,EU_2533,ABRUZZO,F89F22000350001,ID_N00202,Fabbricato Turisctico Ricettivo località Ceppo,11 - Altre opere pubbliche,15000,FA_8 - Fine lavori,067036,OC_120,FA_8,Fine lavori,COMUNE DI ROCCA SANTA MARIA - TERAMO -,80005510674
Ascoli Piceno,AP,OS,Opere statali,ES_967,ES_967,MARCHE,C32E20000170001,,SCUOLA DON BOSCO - SAN FILIPPO,10 - Scuole,4100000,FA_4 - Progetto definitivo/PFTE approvato,044007,OS_31,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI ASCOLI PICENO - AP -,00229010442
Venarotta,AP,OS,Opere statali,ES_954,ES_954,MARCHE,C69H18000140003,,SCUOLA MEDIA E PALESTRA,10 - Scuole (Palestre),2978481.39,FA_7 - Inizio lavori,044073,OS_31,FA_7,Inizio lavori,COMUNE DI VENAROTTA - ASCOLI PICENO -,80004310449
Macerata,MC,OS,Opere statali,ES_1011,ES_1011,MARCHE,D82C21001250001,,PALAZZO CICCOLINI - UNIVERSITA' DI MACERATA,10 - Università,1079057.83,FA_7 - Inizio lavori,043023,OS_31,FA_7,Inizio lavori,UNIVERSITÀ DEGLI STUDI DI MACERATA,00177050432
Martinsicuro,TE,OS,Opere statali,ES_190,ES_190,ABRUZZO,G13B20000160001,,ERP 495 - Via Vomano n.4,5 - Edilizia residenziale pubblica,403368,FA_7 - Inizio lavori,067047,OS_7,FA_7,Inizio lavori,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Perugia,PG,OS,Opere statali,ES_642,ES_642,UMBRIA,C92C21001390001,,"Scuole Primaria ""A. Fabretti"" e Secondaria I° grado ""San Paolo""",10 - Scuole,6000000,FA_3 - Incarico di progettazione affidato,054039,OS_31,FA_3,Incarico di progettazione affidato,COMUNE DI PERUGIA - PG -,00163570542
Crognaleto,TE,OC,Opere comunali,EU_003474,EU_3474,ABRUZZO,G42F24000290005,ID_N00117,Ripristino manto stradale e opere d'arte strada comunale campo sportivo,9 - Opere di urbanizzazione e infrastrutture,30000,FA_5 - Progetto esecutivo approvato,067023,OC_120,FA_5,Progetto esecutivo approvato,COMUNE DI CROGNALETO - TERAMO -,80004590677
Falerone,FM,OC,Opere comunali,EU_1971,EU_1971,Marche,G55F23000030006,7417,RIPRISTINO MANTO STRADALE E SOTTOSERVIZI DELLE STRADE DEL CENNTRO STORICO,9 - Opere di urbanizzazione e infrastrutture,1900000,FA_4 - Progetto definitivo/PFTE approvato,109005,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI FALERONE - ASCOLI PICENO -,81001750447
Pioraco,MC,OC,Opere comunali,EU_0583,EU_583,MARCHE,G66G17000390001,1523,Casa di riposo per anziani Comunale+ Casa di riposo comunale per anziani - Ampliamento,7 - Edilizia socio sanitaria,1300000,FA_7 - Inizio lavori,043039,OC_109,FA_7,Inizio lavori,COMUNE DI PIORACO - MC -,00221260433
Montorio al Vomano,TE,OC,Opere comunali,EU_003484,EU_3484,ABRUZZO,G92F24000100001,ID_NR0014,Riqualificazione dei marciapiedi della SS80 e SS150,9 - Opere di urbanizzazione e infrastrutture,200000,FA_8 - Fine lavori,067028,OC_120,FA_8,Fine lavori,COMUNE DI MONTORIO AL VOMANO - TE -,80002070672
Montorio al Vomano,TE,OC,Opere comunali,EU_0062,EU_62,ABRUZZO,G93D20001040001,,Ex dispensario adibito a circolo anziani,7 - Edilizia socio sanitaria,800000,FA_7 - Inizio lavori,067028,OC_109,FA_7,Inizio lavori,AZIENDA SANITARIA LOCALE 4 TERAMO,00115590671
Nocera Umbra,PG,OC,Opere comunali,EU_1680,EU_1680,Umbria,H43D17001270001,,Muro di contenimento scuola materna capoluogo,9 - Opere di urbanizzazione e infrastrutture,140300,FA_7 - Inizio Lavori,054034,OC_129,FA_7,Inizio lavori,COMUNE DI NOCERA UMBRA - PG -,00417870540
Montegallo,AP,OC,Opere comunali,EU_0433,EU_433,MARCHE,H74B17000060001,2782,LOC. PROPEZZANO,5 - Edilizia residenziale pubblica,346040.46,FA_7 - Inizio lavori,044038,OC_109,FA_7,Inizio lavori,COMUNE DI MONTEGALLO - ASCOLI PICENO -,00357070440
Potenza Picena,MC,OC,Opere comunali,EU_0619,EU_619,MARCHE,I12C19000340001,1748,SEDE UFFICIO TECNICO COMUNALE,8 - Municipi,1356000,FA_2 - Avvio procedure di affidamento contraente per i servizi,043043,OC_109,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI POTENZA PICENA - MC -,00125720433
Gualdo,MC,OC,Opere comunali,EU_1842,EU_1842,Marche,I67H21003100001,7569,VIA DELLA CIRCONVALLAZIONE: RIPARAZIONE DANNI MURO ESISTENTE E CONSOLIDAMENTO E MESSA IN SICUREZZA SCARPATA DANNEGGIATA ANCHE CON REALIZZAZIONE DI TRATTO DI MURO DI CONTENIMENTO,9 - Opere di urbanizzazione e infrastrutture,400000,FA_4 - Progetto definitivo/PFTE approvato,043021,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI GUALDO - MACERATA -,83002290431
Collazzone,PG,OC,Opere comunali,EU_1654,EU_1654,Umbria,J29D22000370005,,Mura Urbiche,11 - Altre opere pubbliche,146640,FA_5 - Progetto esecutivo approvato,054014,OC_129,FA_5,Progetto esecutivo approvato,COMUNE DI COLLAZZONE - PERUGIA -,00449760545
Norcia,PG,OC,Opere comunali,EU_3093,EU_3093,UMBRIA,F56J20001370001,,"Lavori di manutenzione ed isolamento termico del centro promozionale di proprietà comunale, sito in Norcia capoluogo, Via Solferino",11 - Altre opere pubbliche,126235,FA_7 - Inizio Lavori,054035,OC_104,FA_7,Inizio lavori,COMUNE DI NORCIA - PG -,84002650541
Ussita,MC,OC,Opere comunali,EU_1880,EU_1880,Marche,C58I16000160003,786,ADEGUAMENTO SISMICO E NUOVA RIFUNZIONALIZZAZIONE DEL PALAZZO DEL COMUNE,8 - Municipi,3500000,FA_3 - Incarico di progettazione affidato,043056,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI USSITA - MC -,81001810431
Castignano,AP,OC,Opere comunali,EU_1904,EU_1904,Marche,D89E23000000002,2929,DEMOLIZIONE E RICOSTRUZIONE IMMOBILE DA DESTINARE AD ATTIVITÀ SOCIALI,11 - Altre opere pubbliche,1300000,FA_5 - Progetto esecutivo approvato,044012,OC_137,FA_5,Progetto esecutivo approvato,COMUNE DI CASTIGNANO - ASCOLI PICENO -,00358540441
Serravalle di Chienti,MC,OC,Opere comunali,EU_2093,EU_2093,Marche,B16H20000000001,4211,DEMOLIZIONE DELL'EX SCUOLA FRAZIONE SAN MARTINO,11 - Altre opere pubbliche,55000,FA_3 - Incarico di progettazione affidato,043052,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI SERRAVALLE DI CHIENTI - MC -,81000480434
Pieve Torina,MC,OC,Opere comunali,EU_2184,EU_2184,Marche,C53D21002960001,7358,RIPRISTINO PARCO PETRUCCI LOC. APPENNINO - Progettazione,12 - Solo Progettazione,72000,FA_4 - Progetto definitivo/PFTE approvato,043038,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI PIEVE TORINA - MC -,81000190439
Fiastra,MC,OC,Opere comunali,EU_2392,EU_2392,Marche,F22C21000550001,7695,RIPARAZIONE DANNI CIMITERO DI SANT'ILARIO,3 - Cimiteri,200000,FA_4 - Progetto definitivo/PFTE approvato,043017,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI FIASTRA - MACERATA -,81000250431
Cerreto di Spoleto,PG,OC,Opere comunali,EU_1218,EU_1218,UMBRIA,D79D19000000002,,Centro salute ASL e attività commerciali,7 - Edilizia socio sanitaria,275000,FA_9 - Collaudo,054010,OC_109,FA_9,Collaudo,COMUNE DI CERRETO DI SPOLETO - PG -,84002490542
Norcia,PG,OC,Opere comunali,EU_3449,EU_3449,UMBRIA,F52C21000130001,,Cimiteri loc. Norcia capoluogo,3 - Cimiteri,3080000,FA_3 - Incarico di progettazione affidato,054035,OC_109,FA_3,Incarico di progettazione affidato,COMUNE DI NORCIA - PG -,84002650541
Borbona,RI,OC,Opere comunali,EU_0212,EU_212,LAZIO,C28C17000210001,P23.0052-0029,VIA castelline,9 - Opere di urbanizzazione e infrastrutture,639022.68999999994,FA_9 - Collaudo,057006,OC_109,FA_9,Collaudo,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Stimigliano,RI,OC,Opere comunali,EU_0236,EU_236,LAZIO,D84H17001180001,P23.0052-0052,Autorimessa Caserma Carabinieri di Stimigliano,1 - Caserme,52262.12,FA_8 - Fine Lavori,057066,OC_109,FA_8,Fine lavori,AMMINISTRAZIONE PROVINCIALE DI RIETI,00114510571
Micigliano,RI,OC,Opere comunali,EU_1396,EU_1396,Lazio,B62F21000030005,P23.0047-0050,Consolidamento versante in frana su cui sorge in centro di Micigliano - II stralcio,4 - Dissesti,5900000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,057037,OC_129,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI MICIGLIANO - RIETI -,00113670574
Torricella Sicura,TE,OC,Opere comunali,EU_1568,EU_1568,Abruzzo,C64H21000060001,,Miglioramento sismico e riparazione delle lesioni del Cimitero Comunale della Frazione di Abetemozzo di Torricella Sicura.,3 - Cimiteri,150000,FA_7 - Inizio lavori,067043,OC_129,FA_7,Inizio lavori,COMUNE DI TORRICELLA SICURA - TE -,80003050673
Torricella Sicura,TE,OC,Opere comunali,EU_002589,EU_2589,ABRUZZO,C62H22000540005,ID_N00266,Interventi sulla Palestra Comunale,11 - Altre opere pubbliche,630000,FA_5 - Progetto esecutivo approvato,067043,OC_120,FA_5,Progetto esecutivo approvato,COMUNE DI TORRICELLA SICURA - TE -,80003050673
Cupra Marittima,AP,OS,Opere statali,ES_905,ES_905,MARCHE,F46E17000050007,,ISTITUTO COMPRENSIVO - CORPO A,10 - Scuole,6250000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,044017,OS_31,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI CUPRA MARITTIMA - ASCOLI PICENO -,00356330449
Martinsicuro,TE,OS,Opere statali,ES_191,ES_191,ABRUZZO,G12C20000640001,,ERP 582 - Via Como n.2,5 - Edilizia residenziale pubblica,460462.8,FA_8 - Fine Lavori,067047,OS_7,FA_8,Fine lavori,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA 2016 DELLA REGIONE ABRUZZO,92054150674
Teramo,TE,OS,Opere statali,ES_571,ES_571,ABRUZZO,D41B21002730001,,"Scuola dell’Infanzia e Scuola Secondaria di I grado ""M. Capuani""",10 - Scuole,3390218,FA_2 - Avvio procedure di affidamento contraente per i servizi,067041,OS_31,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI TERAMO - TE -,00174750679
Teramo,TE,OS,Opere statali,ES_204,ES_204,ABRUZZO,G44J18001000001,,ERP 453 - VIA Giovanni XXIII n.28,5 - Edilizia residenziale pubblica,2481941,FA_5 - Progetto esecutivo approvato,067041,OS_7,FA_5,Progetto esecutivo approvato,A.T.E.R. DELLA PROVINCIA DI TERAMO,00061800678
Montefelcino,PU,OC,Opere comunali,EU_2461,EU_2461,Marche,G61H18000020001,5348,"INTERVENTO DI RIPARAZIONE DANNI CON RESTAURO E MIGLIORAMENTO SISMICO DEL PALAZZO DEL MUNICIPIO DENOMINATO ""PALAZZO DEL FEUDATARIO"" DANNEGGIATO DAGLI EVENTI SISMICI DEL 2016",8 - Municipi,2300000,FA_3 - Incarico di progettazione affidato,041034,OC_137,FA_3,Incarico di progettazione affidato,COMUNE DI MONTEFELCINO - PS -,00360630412
Borgo Velino,RI,OC,Opere comunali,EU_1366,EU_1366,Lazio,I41E21000020001,P23.0047-0020,Messa in sicurezza strada Monte Nuria,4 - Dissesti,685038,FA_4 - Progetto definitivo/PFTE approvato,057008,OC_129,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI BORGO VELINO - RIETI -,00109190579
Arquata del Tronto,AP,OC,Opere comunali,EU_3116,EU_3116,MARCHE,J29G20000090001,,Lavori di ripristino e riqualificazione del piazzale della Frazione di Pretare di Arquata del Tronto,9 - Opere di urbanizzazione e infrastrutture,68035.27,FA_9 - Collaudo,044006,OC_104,FA_9,Collaudo,COMUNE DI ARQUATA DEL TRONTO - AP -,00353580442
Ripe San Ginesio,MC,OC,Opere comunali,EU_2083,EU_2083,Marche,J37H22001880001,7428,"SISMA 2016 - LAVORI DI MESSA IN SICUREZZA MEDIANTE DEMOLIZIONE E RICOSTRUZIONE ""PONTE SILVETTI""",9 - Opere di urbanizzazione e infrastrutture,900000,FA_4 - Progetto definitivo/PFTE approvato,043045,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI RIPE SAN GINESIO - MACERATA -,00267220432
Valle Castellana,TE,OC,Opere comunali,EU_0084,EU_84,ABRUZZO,J98I19000270002,,Palazzo Danesi da adibire a struttura ricettiva,11 - Altre opere pubbliche,401040,FA_5 - Progetto esecutivo approvato,067046,OC_109,FA_5,Progetto esecutivo approvato,COMUNE DI VALLE CASTELLANA - TERAMO -,80006060679
Colledara,TE,OC,Opere comunali,EU_3046,EU_3046,ABRUZZO,C86G21008180001,,Lavori di riparazione della sede comunale di Colledara,8 - Municipi,23180,FA_9 - Collaudo,067018,OC_104,FA_9,Collaudo,COMUNE DI COLLEDARA - TERAMO -,80004630671
Sant'Angelo in Pontano,MC,OC,Opere comunali,EU_3216,EU_3216,MARCHE,B69J21000300001,,"Lavori di completamento intervento di riqualificazione denominato ""Agora""' attraverso pavimentazione di P.zzale Trento.",9 - Opere di urbanizzazione e infrastrutture,110000,FA_9 - Collaudo,043048,OC_104,FA_9,Collaudo,COMUNE DI SANT'ANGELO IN PONTANO - MACERATA -,83002690432
Caldarola,MC,OC,Opere comunali,EU_0721,EU_721,MARCHE,B97F18000200001,33,"MUNICIPIO - 1° Stralcio ""Palazzo Pallotta"" - Sede Istituzionale",8 - Municipi,6750000,FA_4 - Progetto definitivo/PFTE approvato,043006,OC_109,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI CALDAROLA - MACERATA -,00217240431
Caldarola,MC,OC,Opere comunali,EU_0834,EU_834,MARCHE,B91D20001040008,32,EX CASERMA FORESTALE,11 - Altre opere pubbliche,252344,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,043006,OC_109,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI CALDAROLA - MACERATA -,00217240431
Camerino,MC,OC,Opere comunali,EU_0841,EU_841,MARCHE,E13G18000080001,4541,Cimitero capoluogo,3 - Cimiteri,731684.74,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,043007,OC_109,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI CAMERINO - MC -,00276830437
Arquata del Tronto,AP,OC,Opere comunali,EU_1007,EU_1007,MARCHE,B23H19001140001,5206,"Opere di consolidamento, risanamento e riduzione del rischio idrogeologico nella frazione di Colle d'Arquata (R4-PAI)",4 - Dissesti,2600000,FA_8 - Fine lavori,044006,OC_109,FA_8,Fine lavori,REGIONE MARCHE,80008630420
Muccia,MC,OC,Opere comunali,EU_1092,EU_1092,MARCHE,E18G20000200001,3105,"Condominio Via Clementina, 2 (Misto)",5 - Edilizia residenziale pubblica,982549.82,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,043034,OC_109,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI MUCCIA - MACERATA -,00263210437
Colmurano,MC,OC,Opere comunali,EU_2021,EU_2021,Marche,D89D22000100001,7407,SISMA 2016 - lavori di restauro e risanamento conservativo mura urbiche del Capoluogo e messa in sicurezza versante Via del Borgo,9 - Opere di urbanizzazione e infrastrutture,1200000,FA_5 - Progetto esecutivo approvato,043014,OC_137,FA_5,Progetto esecutivo approvato,COMUNE DI COLMURANO - MACERATA -,00267160430
Pieve Torina,MC,OC,Opere comunali,EU_2159,EU_2159,Marche,C57H21003900001,7397,RIPRISTINO DISSESTI SPONDALI LUNGO L'ASTA DEL FIUME CHIENTI NELLE ZONE PIP1 E PIP2 - Progettazione,12 - Solo Progettazione,405000,FA_2 - Avvio procedure di affidamento contraente per i servizi,043038,OC_137,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI PIEVE TORINA - MC -,81000190439
Ortezzano,FM,OC,Opere comunali,EU_2961,EU_2961,Marche,D23I18000280005,4859,Pavimentazione per area di ammassamento,9 - Opere di urbanizzazione e infrastrutture,42000,FA_9 - Collaudo,109029,OC_48,FA_9,Collaudo,COMUNE DI ORTEZZANO - ASCOLI PICENO -,00390830446
Polino,TR,OC,Opere comunali,EU_1470,EU_1470,Umbria,C85F21001590001,,Messa in sicurezza e ripristino funzionale dell'area di pertinenza e di accesso all'Eremo di S. Antonio,4 - Dissesti,300000,FA_6 - Avvio procedure per l'aggiudicazione dei lavori,055027,OC_129,FA_6,Avvio procedure per l'aggiudicazione dei lavori,COMUNE DI POLINO - TERNI -,00178250551
Campotosto,AQ,OC,Opere comunali,EU_1482,EU_1482,Abruzzo,B44H22000390001,,Interventi di riparazione e ripristino strutturale delle aree cimiteriali danneggiate dal sisma 2016. Frazione Di Ortolano,3 - Cimiteri,275000,FA_5 - Progetto esecutivo approvato,066016,OC_129,FA_5,Progetto esecutivo approvato,COMUNE DI CAMPOTOSTO - L'AQUILA -,00085160661
Macerata,MC,OS,Opere statali,ES_1019,ES_1019,MARCHE,D82C21001260001,,EX TRIBUNALE - UNIVERSITA' MACERATA - DIPARTIMENTO FILOSOFIA - DEMANIO,10 - Università,2660040,FA_3 - Incarico di progettazione affidato,043023,OS_31,FA_3,Incarico di progettazione affidato,UNIVERSITÀ DEGLI STUDI DI MACERATA,00177050432
Amatrice,RI,OS,Opere statali,ES_425,ES_425,LAZIO,E71B22001980001,P24.0022-0038,Rifacimento ed adeguamento delle opere di urbanizzazione nella frazione Capricchia,9 - Opere di urbanizzazione e infrastrutture,483560,FA_2 - Avvio procedure di affidamento contraente per i servizi,057002,OS_42,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI AMATRICE - RIETI -,00110480571
Amatrice,RI,OS,Opere statali,ES_471,ES_471,LAZIO,E77H24001590001,P23.0089-0059,Strada Comunale loalità Le Serre,9 - Opere di urbanizzazione e infrastrutture,390000,FA_1 - Rup nominato e cronoprogramma condiviso,057002,OS_42,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI AMATRICE - RIETI -,00110480571
Amatrice,RI,OS,Opere statali,ES_163,ES_163,LAZIO,C79J21038370001,P25.0015-0006,Centro della Musica (Ex Chiesa di S. Maria di Porta Ferrata),11 - Altre opere pubbliche,2358874.88,FA_2 - Avvio procedure di affidamento contraente per i servizi,057002,OS_2,FA_2,Avvio procedure di affidamento contraente per i servizi,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Cerreto d'Esi,AN,OC,Opere comunali,EU_0517,EU_517,MARCHE,B53I17000010001,1745,MUNICIPIO CON ANNESSA TORRE CIVICA,8 - Municipi,1050000,FA_7 - Inizio lavori,042013,OC_109,FA_7,Inizio lavori,COMUNE DI CERRETO D'ESI - AN -,00345420426
Comunanza,AP,OC,Opere comunali,EU_0524,EU_524,MARCHE,B24C19001480001,718,SEDE MUNICIPIO E SEDE UNIONE MONTANA DEI SIBILLINI,8 - Municipi,1250000,FA_4 - Progetto definitivo/PFTE approvato,044015,OC_109,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI COMUNANZA - AP -,80001250440
Monte Cavallo,MC,OC,Opere comunali,EU_1848,EU_1848,Marche,C37H21008810002,7488,"DISSESTO IDROGEOLOGICO LOC. PIAN DELLA NOCE - SCAVI, CONSOLIDAMENTI, DRENAGGI",4 - Dissesti,164200,FA_4 - Progetto definitivo/PFTE approvato,043027,OC_137,FA_4,Progetto definitivo/PFTE approvato,COMUNE DI MONTE CAVALLO - MACERATA -,81000130435
Pieve Torina,MC,OC,Opere comunali,EU_2177,EU_2177,Marche,C57H21010040001,3573,"RIPRISTINO SOTTOSERVIZI ACQUEDOTTO, FOGNATURE E PUBBLICA ILLUMINAZIONE FRAZIONI VERSANTE RAMO CHIENTI: SEGGIOLE, LUCCIANO, VILLANOVA, COLLE DI ANTICO, PIECOLLINA, GALLANO, CAPRIGLIA, CAPANNE, PIECASAVECCHIA, CASAVECCHIA ALTA,COLLE DI CASAVECCHIA, BAZZANO VARONCELLI, GABBIANO, VARI, APPENNINO, ACCATTI, PANTANA, CAPODACQUA, TAZZA, TORRICCHIO, COLLE DI TORRICCHIO, PIANO DI TORRICCHIO, SORTI E POMAROLO (26 FRAZIONI) - Progettazione",12 - Solo Progettazione,3450000,FA_2 - Avvio procedure di affidamento contraente per i servizi,043038,OC_137,FA_2,Avvio procedure di affidamento contraente per i servizi,COMUNE DI PIEVE TORINA - MC -,81000190439
Acquasanta Terme,AP,OC,Opere comunali,EU_2250,EU_2250,Marche,F66J21000050001,7675,RECUPERO DEL CIMITERO DI SAN VITO,3 - Cimiteri,60000,FA_8 - Fine lavori,044001,OC_137,FA_8,Fine lavori,COMUNE DI ACQUASANTA TERME - AP -,00356080440
Serrapetrona,MC,OC,Opere comunali,EU_2686,EU_2686,Marche,D95F22001200001,7146,Strada comunale Borgianello,9 - Opere di urbanizzazione e infrastrutture,270000,FA_5 - Progetto esecutivo approvato,043051,OC_120,FA_5,Progetto esecutivo approvato,COMUNE DI SERRAPETRONA - MACERATA -,00265950436
Cerreto di Spoleto,PG,OC,Opere comunali,EU_1412,EU_1412,Umbria,D77H22000850001,,Ripristino infrastrutture a rete in località Bugiano - I Stralcio,9 - Opere di urbanizzazione e infrastrutture,400000,FA_3 - Incarico di progettazione affidato,054010,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI CERRETO DI SPOLETO - PG -,84002490542
Spoleto,PG,OC,Opere comunali,EU_1706,EU_1706,Umbria,B37H21004620001,,Camera Mortuaria Cimitero di San Giacomo,3 - Cimiteri,21729,FA_5 - Progetto esecutivo approvato,054051,OC_129,FA_5,Progetto esecutivo approvato,COMUNE DI SPOLETO - PG -,00316820547
Ferentillo,TR,OC,Opere comunali,EU_3732,EU_3732,UMBRIA,F29D26000360002,,Consolidamento e messa in sicurezza Rocca della Matterella - II° STRALCIO,11 - Altre opere pubbliche,1500000,FA_1 - Rup nominato e cronoprogramma condiviso,055012,OC_263,FA_1,Rup nominato e cronoprogramma condiviso,COMUNE DI FERENTILLO - TR -,80001330556
Posta,RI,OC,Opere comunali,EU_1638,EU_1638,Lazio,C86I22001410001,P23.0047-0113,Chiesa di San Francesco,2 - Chiese ed edifici di culto,3293100,FA_2 - Avvio procedure di affidamento contraente per i servizi,057057,OC_129,FA_2,Avvio procedure di affidamento contraente per i servizi,UFFICIO SPECIALE PER LA RICOSTRUZIONE POST SISMA DEL 2016 DELLA REGIONE LAZIO,90076740571
Farindola,PE,OC,Opere comunali,EU_1330,EU_1330,Abruzzo,E27H21003600005,,Ex forno comunale con annesso magazzino,11 - Altre opere pubbliche,129000,FA_3 - Incarico di progettazione affidato,068019,OC_129,FA_3,Incarico di progettazione affidato,COMUNE DI FARINDOLA - PESCARA -,00231350687
