cf_piva_soggetto_attuatore,cod_ipa,denominazione_ipa,pec,fonte_ipa
00033120437,c_f051,Comune di Matelica,protocollo.comunematelica@pec.it,domicili digitali
00040520579,A6BF9LF1,AZIENDA TERRITORIALE PER L'EDILIZIA RESIDENZIALE PUBBLICA DI RIETI,aterrieti@pec.it,domicili digitali
00069210557,c_a439,Comune di Arrone,comune.arrone@postacert.umbria.it,domicili digitali
00076610674,c_a488,Comune di Atri,postacert@pec.comune.atri.te.it,domicili digitali
00078040573,c_c946,Comune di Concerviano,comune.concerviano@pec.it,domicili digitali
00082300575,c_h446,Comune di Rocca Sinibalda,segreteria.roccasinibalda.ri@legalmail.it;ufficiotecnico.roccasinibalda@pec.it,domicili digitali
00082310574,c_l293,Comune di Torricella in Sabina,torricella@pec.comune.torricellainsabina.ri.it,domicili digitali
00083210666,6PAVRHY5,ATER Provincia Aquila,posta.certificata@ateraq.legalmail.it,portale IPA
00085160661,c_b569,Comune di Campotosto,protocollo@pec.comune.campotosto.aq.it,domicili digitali
00089690556,c_e729,Comune di Lugnano In Teverina,polizialocale@pec.comune.lugnanointeverina.tr.it;comune.lugnanointeverina@postacert.umbria.it;suap.comune.lugnanointeverina@postacert.umbria.it,domicili digitali
00092290550,c_f510,Comune di Montefranco,comune.montefranco@postacert.umbria.it,domicili digitali
00093840577,c_b627,Comune di Cantalice,protocollo@pec.comune.cantalice.ri.it,domicili digitali
00094100575,c_g763,Comune di Poggio Mirteto,posta@pec.comune.poggiomirteto.ri.it,domicili digitali
00094140571,c_f687,Comune di Montopoli di Sabina,uffprotocollo@comunemontopolidisabina.pecpa.it,domicili digitali
00096090550,c_f457,Comune di Montecastrilli,comune.montecastrilli@postacert.umbria.it;suap.comune.montecastrilli@postacert.umbria.it,domicili digitali
00096510664,c_f595,Comune di Montereale,segreteria.montereale@legalmail.it;anagrafe.montereale@legalmail.it,domicili digitali
00098000698,c_c632,Comune di Chieti,protocollo@pec.comune.chieti.it,domicili digitali
00100700574,c_h282,Comune di Rieti,protocollo@pec.comune.rieti.it,domicili digitali
00101350445,cciip,Ciip - Cicli Integrati Impianti Primari Spa,servizio.protocollo@pec.ciip.it,domicili digitali
00103110573,c_a315,Comune di Antrodoco,comunediantrodoco@legalmail.it,domicili digitali
00106720428,c_a366,Comune di Arcevia,comune.arcevia@emarche.it,domicili digitali
00108820572,c_h354,Comune di Rivodutri,comune.rivodutri@legalmail.it,domicili digitali
00108830571,c_g756,Comune di Poggio Bustone,amministrazione.poggiobustone@legalmail.it,domicili digitali
00109090571,c_c969,Comune di Contigliano,sedebassa@legalmail.it,domicili digitali
00109190579,c_a996,Comune di Borgo Velino,protocollo@pec.comune.borgovelino.ri.it;COMUNE.BORGOVELINO.ri@pec.it,domicili digitali
00109320572,c_d689,Comune di Forano,posta@pec.comune.forano.ri.it,domicili digitali
00109350579,c_c268,Comune di Castel Sant'Angelo,comune.castelsantangelo.ri@legalmail.it,domicili digitali
00109440578,c_c876,Comune di Collevecchio,info@pec.comune.collevecchio.ri.it,domicili digitali
00110270576,c_l286,Comune di Torri in Sabina,ragioneria.torriinsabina.ri@legalmail.it,domicili digitali
00110480571,c_a258,Comune di Amatrice,ragioneria@pec.comune.amatrice.rieti.it;fatture@pec.comune.amatrice.rieti.it;settore6@pec.comune.amatrice.rieti.it;protocollo@pec.comune.amatrice.rieti.it;lavoripubblici@pec.comune.amatrice.rieti.it;poliziamunicipale@pec.comune.amatrice.rieti.it;patrimonio@pec.comune.amatrice.rieti.it;manutenzione@pec.comune.amatrice.rieti.it;ricostruzione@pec.comune.amatrice.rieti.it;affarilegali@pec.comune.amatrice.rieti.it,domicili digitali
00111040572,c_e535,Comune di Leonessa,comune@pec.comunedileonessa.it,domicili digitali
00113040570,c_c746,Comune di Cittaducale,comunecittaducale@viapec.net,domicili digitali
