cup,soggetto_titolare,cf_piva_soggetto,categoria_soggetto,sotto_categoria_soggetto,natura,tipologia_intervento,settore_intervento,sotto_settore_intervento,categoria_intervento,descrizione_cup,anno_decisione,importo_costo_progetto,importo_finanziamento,tipo_copertura,strumento,numero_cup_collegati,cup_master_collegato,url_opencup
B82E20000160001,COMUNE DI RAPAGNANO - AP -,00358210441,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,SCUOLE MATERNE,SCUOLA MATERNA RODARI*VIA ITALIA*ADEGUAMENTO SISMICO SCUOLA MATERA,2020,1400000.0,1400000.0,STATALE,ALTRO-Ord. 56 Del Terremoto del Centro Italia,0,"",https://opencup.gov.it/portale/progetto/-/cup/B82E20000160001
B83B20000250001,ENTE REGIONALE PER L'ABITAZIONE PUBBLICA MARCHE,02573290422,ENTI ED IMPRESE DI GESTIONE DEL PATRIMONIO IMMOBILIARE PUBBLICO,IACP,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,INTERVENTO DI MIGLIORAMENTO STRUTTURALE EDIFICIO IN VIA FOSCOLO 10 A-B NEL COMUNE DI MACERATA*VIA FOSCOLO 10A-B*INTERVENTO DI MIGLIORAMENTO STRUTTURALE,2020,1139142.0,1139142.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B83B20000250001
B83B20000260001,ENTE REGIONALE PER L'ABITAZIONE PUBBLICA MARCHE,02573290422,ENTI ED IMPRESE DI GESTIONE DEL PATRIMONIO IMMOBILIARE PUBBLICO,IACP,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,INTERVENTO DI MIGLIORAMENTO STRUTTURALE EDIFICIO IN VIA DELL'ACQUEDOTTO 70 NEL COMUNE DI MACERATA*VIA DELL'ACQUEDOTTO 70*INTERVENTO DI MIGLIORAMENTO STRUTTURALE,2020,403656.0,403656.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B83B20000260001
B83B20000270001,ENTE REGIONALE PER L'ABITAZIONE PUBBLICA MARCHE,02573290422,ENTI ED IMPRESE DI GESTIONE DEL PATRIMONIO IMMOBILIARE PUBBLICO,IACP,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,INTERVENTO DI MIGLIORAMENTO SISMICO EDIFICIO IN VIA MARTIRI DELLA LIBERTÀ 28 NEL COMUNE DI MACERATA*VIA MARTIRI DELLA LIBERTÀ 28*INTERVENTO DI MIGLIORAMENTO SISMICO,2020,486420.0,486420.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B83B20000270001
B83B20000280001,ENTE REGIONALE PER L'ABITAZIONE PUBBLICA MARCHE,02573290422,ENTI ED IMPRESE DI GESTIONE DEL PATRIMONIO IMMOBILIARE PUBBLICO,IACP,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,INTERVENTO DI MIGLIORAMENTO SISMICO EDIFICO IN VIA PAVESE 64-66 DEL COMUNE DI MACERATA*VIA PAVESE 64-66*INTERVENTO DI MIGLIORAMENTO SISMICO,2020,1191124.0,1191124.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B83B20000280001
B83B20000290001,ENTE REGIONALE PER L'ABITAZIONE PUBBLICA MARCHE,02573290422,ENTI ED IMPRESE DI GESTIONE DEL PATRIMONIO IMMOBILIARE PUBBLICO,IACP,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,INTERVENTO DI MIGLIORAMENTO SISMICO EDIFICIO IN VIA TAGLIAMENTO 82 NEL COMUNE DI MACERATA*VIA TAGLIAMENTO 82*INTERVENTO DI MIGLIORAMENTO SISMICO,2020,359128.0,359128.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B83B20000290001
B85B18010510002,COMUNE DI RAPAGNANO - AP -,00358210441,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,"EDIFICI SOCIALI, CULTURALI E ASSISTENZIALI",PALESTRA VIALE EUROPA*VIALE EUROPA*MESSA IN SICUREZZA PALESTRA,2018,170920.0,170920.0,REGIONALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B85B18010510002
B86J17001320001,COMUNE DI RAPAGNANO - AP -,00358210441,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,DIREZIONALI E AMMINISTRATIVE,STRUTTURE/INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE,PALAZZO COMUNALE*PIAZZA SICCONE*SISMA 2016 2017: MIGLIORAMENTO SISMICO,2017,730000.0,730000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B86J17001320001
B87B23000060002,COMUNE DI SANTA MARIA NUOVA - AN -,00130350424,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,INTERVENTI DI MESSA IN SICUREZZA E RISTRUTTURAZIONE CHIESA CIMITERIALE SITA NELLA PARTE STORICA A SEGUITO DEL SISMA 2016*VIA MACCARATA*INTERVENTI DI MESSA IN SICUREZZA E RISTRUTTURAZIONE CHIESA CIMITERIALE SITA NELLA PARTE STORICA A SEGUITO DEL SISMA 2016,2023,235000.0,235000.0,REGIONALE,ALTRO-PROGRAMMA UNITARIO DI GENERAZIONE URBANA - PIANO OPERE PUBBLICHE REGIONE MARCHE,0,"",https://opencup.gov.it/portale/progetto/-/cup/B87B23000060002
B87D18000960002,soggetto privato,soggetto privato,IMPRESE ED ALTRI SOGGETTI PRIVATI NON IN FORMA ASSOCIATA,ALTRI SOGGETTI PRIVATI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE PER TELECOMUNICAZIONI E TECNOLOGIE INFORMATICHE,INFRASTRUTTURE PER TELECOMUNICAZIONI,IMPIANTI WIRELESS,TERRITORI COMUNALI DEL SISMA 2016*VIA AREE COMUNALI*REALIZZAZIONE DI RETI WIFI,2018,1332727.0,1332727.0,"REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE, REGIONALE",ALTRO-protocollo d'intesa tra Mise e Regione Lazio del 10 dicembre 2018,0,"",https://opencup.gov.it/portale/progetto/-/cup/B87D18000960002
B87D23000030002,COMUNE DI SANTA MARIA NUOVA - AN -,00130350424,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RECUPERO,INFRASTRUTTURE SOCIALI,DIREZIONALI E AMMINISTRATIVE,STRUTTURE/INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE,INTERVENTI LOCALI DI MESSA IN SICUREZZA DELLA SEDE MUNICIPALE E RELATIVA TORRE CIVICA A SEGUITO DEL SISMA 2016*PIAZZA MAZZINI*INTERVENTI LOCALI DI MESSA IN SICUREZZA DELLA SEDE MUNICIPALE E RELATIVA TORRE CIVICA A SEGUITO DEL SISMA 2016,2023,200000.0,200000.0,REGIONALE,ALTRO-PROGRAMMA UNITARIO DI RIGENERAZIONE URBANA  - PIANO  OPERE PUBBLICHE REGIONE MARCHE,0,"",https://opencup.gov.it/portale/progetto/-/cup/B87D23000030002
B91B18000780001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI ADEGUAMENTO SISMICO,INFRASTRUTTURE DI TRASPORTO,STRADALI,"STRADE REGIONALI, PROVINCIALI E COMUNALI",MURO SOSTEGNO VIA CAVALLOTTI*VIA CAVALLOTTI*RIPARAZIONE DANNI E RISANAMENTO CONSERVATIVO MURO DI SOSTEGNO IN VIA CAVALLOTTI,2018,275000.0,275000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B91B18000780001
B91B20000880005,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE SOCIALI,DIREZIONALI E AMMINISTRATIVE,STRUTTURE/INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE,AMPLIAMENTO SEDE COMUNALE PER REALIZZAZIONE LOCALI PER DELOCALIZZAZIONE SERVIZI STRATEGICI*VIA RIMESSA*AMPLIAMENTO SEDE COMUNALE PER REALIZZAZIONE LOCALI PER DELOCALIZZAZIONE SERVIZI STRATEGICI,2020,750000.0,750000.0,ALTRA PUBBLICA,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B91B20000880005
B91B21000370005,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE DI TRASPORTO,STRADALI,ALTRE STRUTTURE/INFRASTRUTTURE STRADALI,O.C.S.R. N.77/19 - DECRETO C.S.R. N.444/19 - REALIZZAZIONE DI AREA CAMPER ATTREZZATA*VIA PIANDASSALTO*O.C.S.R. N.77/19 - DECRETO C.S.R. N.444/19 - REALIZZAZIONE DI AREA CAMPER ATTREZZATA,2021,175000.0,175000.0,ALTRA PUBBLICA,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B91B21000370005
B91D20001040008,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),ALTRO,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,"EDIFICI SOCIALI, CULTURALI E ASSISTENZIALI",RIPARAZIONE DANNI EDIFICIO EX CASERMA CORPO FORESTALE DELLO STATO*VIA PIANDASSALTO*RIPARAZIONE DANNI EDIFICIO EX CASERMA CORPO FORESTALE DELLO STATO,2020,654000.0,200000.0,"PRIVATA, STATALE",ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B91D20001040008
B92C17000210001,REGIONE MARCHE,80008630420,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI REGIONALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI ADEGUAMENTO SISMICO,INFRASTRUTTURE SOCIALI,SANITARIE,STRUTTURE OSPEDALIERE,OSPEDALE CIVILE*VIALE EUROPA*RIPARAZIONE DANNI SISMA 2016 E ADEGUAMENTO SISMICO,2017,600000.0,600000.0,STATALE,ALTRO-ELENCO OO.PP. ORDINANZA 109/2020 - ALL.1,0,"",https://opencup.gov.it/portale/progetto/-/cup/B92C17000210001
B92C21001190001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,BENI CULTURALI,RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI,OPERE DI RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO TORRE CIVICA*PIAZZA VITTORIO EMANUELE*RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO TORRE CIVICA,2021,500000.0,500000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B92C21001190001
B92C21001200001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,BENI CULTURALI,RESTAURO E RIQUALIFICAZIONE DI BENI CULTURALI,OPERE DI RIPARAZIONE DANNI PORTA DI VESTIGNANO*LOC. VESTIGNANO*OPERE DI RIPARAZIONE DANNI PORTA DI VESTIGNANO,2021,250000.0,250000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B92C21001200001
B92C21001310005,COMUNE DI MONSAMPOLO DEL TRONTO - AP -,82000530442,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,DIREZIONALI E AMMINISTRATIVE,STRUTTURE/INFRASTRUTTURE PER SEDI DELLA PUBBLICA AMMINISTRAZIONE,"RIPARAZIONE DANNI SISMA 2016 CON MIGLIORAMENTO SISMICO DEL MUNICIPIO  (CORSO VITTORIO EMANUELE III, 87)*CORSO VITTORIO EMANUELE III 87*RIPARAZIONE DANNI SISMA 2016 CON MIGLIORAMENTO SISMICO DEL MUNICIPIO  (CORSO VITTORIO EMANUELE III, 87)",2023,1600000.0,1600000.0,ALTRA PUBBLICA,ALTRO-FONDI SISMA 2016 - Piano OO.PP. 2023  Comune di Monsampolo del Tronto,0,"",https://opencup.gov.it/portale/progetto/-/cup/B92C21001310005
B92E20000080001,COMUNE DI MONSAMPOLO DEL TRONTO - AP -,82000530442,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI ADEGUAMENTO SISMICO,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,SCUOLE MATERNE,SCUOLA DELL'INFANZIA IN FRAZIONE STELLA DI MONSAMPOLO DEL TRONTO*VIA PASCOLI*RIPARAZIONE DANNI SISMA 2016 E SEGUENTI DELLA SCUOLA DELL'INFANZIA IN FRAZIONE STELLA DI MONSAMPOLO DEL TRONTO,2020,63540.0,63540.0,STATALE,ALTRO-PROGRAMMAZIONE COMUNALE,0,"",https://opencup.gov.it/portale/progetto/-/cup/B92E20000080001
B93B20000130001,ENTE REGIONALE PER L'ABITAZIONE PUBBLICA MARCHE,02573290422,ENTI ED IMPRESE DI GESTIONE DEL PATRIMONIO IMMOBILIARE PUBBLICO,IACP,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,INTERVENTO DI MIGLIORAMENTO STRUTTURALE EDIFICIO IN MATELICA (MC) VIA MICHELANGELO 6*VIA MICHELANGELO 6*INTERVENTO DI MIGLIORAMENTO STRUTTURALE,2020,1290339.0,1290339.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B93B20000130001
B93D18000750001,REGIONE MARCHE,80008630420,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI REGIONALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE SOCIALI,SANITARIE,STRUTTURE OSPEDALIERE,OCSR N.37/2017 PRESIDIO OSPEDALIERO E.PROFILI*VIALE STELLUTI*REALIZZAZIONE PALAZZINA FUNZIONALE ALLE EMERGENZE SANITARIE DA EVENTI CALAMITOSI,2018,1.0E7,1.0E7,STATALE,ALTRO-ORDINANZA COMMISSARIO STRAORDINARIO ALLA RICOSTRUZIONE SISMA 2016 N.37/2017,0,"",https://opencup.gov.it/portale/progetto/-/cup/B93D18000750001
B93H19001180004,COMUNE DI MONSAMPOLO DEL TRONTO - AP -,82000530442,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI ADEGUAMENTO SISMICO,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,"SCUOLE ELEMENTARI, MEDIE E SUPERIORI","LAVORI DI ADEGUAMENTO SISMICO SCUOLA SECONDARIA DI PRIMO GRADO DON PACIFICO MIGNINI SITA IN PIAZZA MARCONI 6, MONSAMPOLO DEL TRONTO (AP)*PIAZZA MARCONI*ADEGUAMENTO SISMICO",2019,150000.0,150000.0,COMUNALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B93H19001180004
B93I21000120001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RISTRUTTURAZIONE CON EFFICIENTAMENTO ENERGETICO,INFRASTRUTTURE SOCIALI,"SPORT, SPETTACOLO E TEMPO LIBERO",ALTRE STRUTTURE RICREATIVE,"EDIFICIO PALAZZO ASSOCIAZIONI*VIA PALLOTTA*INTERVENTO DI RESTAURO E RISANAMENTO CONSERVATIVO CON MIGLIORAMENTO SISMICO, EFFICIENTAMENTO ENERGETICO ED ELIMINAZIONE DELLE BARRIERE ARCHITETTONICHE",2021,1200000.0,1200000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B93I21000120001
B95E17000010003,COMUNE DI CASTORANO - AP -,80003750447,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),NUOVA REALIZZAZIONE,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,"SCUOLE ELEMENTARI, MEDIE E SUPERIORI",NUOVO POLO SCOLASTICO COMUNE DI CASTORANO*VIA PADRE CARLO ORAZI*REALIZZAZIONE NUOVO POLO SCOLASTICO COMUNE D,2017,2100000.0,2100000.0,"STATALE, REGIONALE",ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B95E17000010003
B95F21000910001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,RIPARAZIONE DANNI E RESTAURO CIMITERO DI PIEVEFAVERA*LOC. MADONNA DELLA CROCE*RIPARAZIONE DANNI E RESTAURO CIMITERO DI PIEVEFAVERA,2021,137840.0,137840.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B95F21000910001
B95F21000920001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,RIPARAZIONE DANNI E RESTAURO CIMITERO DI VALCIMARRA*LOC. VALCIMARRA*RIPARAZIONE DANNI E RESTAURO CIMITERO DI VALCIMARRA,2021,199800.0,199800.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B95F21000920001
B95F21000960001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),RESTAURO,INFRASTRUTTURE SOCIALI,ALTRE INFRASTRUTTURE SOCIALI,CIMITERI,RIPARAZIONE DANNI E RESTAURO CIMITERO CAPOLUOGO*C.DA SAN DOMENICO*RIPARAZIONE DANNI E RESTAURO CIMITERO CAPOLUOGO,2021,1000000.0,1000000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B95F21000960001
B95H19000010002,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA,INFRASTRUTTURE SOCIALI,"SPORT, SPETTACOLO E TEMPO LIBERO",IMPIANTI SPORTIVI,CRISI SISMICA 2016. COMPLETAMENTO CENTRO POLIVALENTE PER ATTIVITA' SOCIALI*VIA FRANCESCO BEATO PIANI*CRISI SISMICA 2016. COMPLETAMENTO CENTRO POLIVALENTE PER ATTIVITA' SOCIALI,2019,90000.0,90000.0,REGIONALE,ALTRO-ORDINANZA COMMISSARIO STRAORDINARIO RICOSTRUZIONE N. 48/2018,0,"",https://opencup.gov.it/portale/progetto/-/cup/B95H19000010002
B96F21000040001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,SOCIALI E SCOLASTICHE,ALTRE STRUTTURE SOCIALI,BAGNI PUBBLICI LUNGO VIA LUNGARA DEL RIO*VIA LUNGARA DEL RIO*INTERVENTO DI DEMOLIZIONE E RICOSTRUZIONE CON DELOCALIZZAZIONE BAGNI PUBBLICI,2021,80000.0,80000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B96F21000040001
B96H17000010001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,EDIFICIO DA DESTINARE A CIVILE ABITAZIONE PER IL SODDISFACIMENTO DEL FABBISOGNO ABITATIVO*VIA GIUSEPPE MAZZINI 2*SISMA 2016 2017: RIPARAZIONE DANNI CON MIGLIORAMENTO SISMICO,2017,310000.0,310000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B96H17000010001
B96H17000020001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,EDIFICIO DA DESTINARE A CIVILE ABITAZIONE PER IL SODDISFACIMENTO DEL FABBISOGNO ABITATIVO*VIA GIUSEPPE MAZZINI 6*SISMA 2016 2017: RIPARAZIONE DANNI CON MIGLIORAMENTO SISMICO,2017,240000.0,240000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B96H17000020001
B96H17000030001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,EDIFICIO DA DESTINARE A CIVILE ABITAZIONE PER IL SODDISFACIMENTO DEL FABBISOGNO ABITATIVO*VIA DURANTE 1*SISMA 2016 2017: RIPARAZIONE DANNI E MIGLIORAMENTO SISMICO,2017,100000.0,100000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B96H17000030001
B96H17000040001,COMUNE DI CALDAROLA - MACERATA -,00217240431,ENTI TERRITORIALI E DI AMMINISTRAZIONE DEL TERRITORIO,AMMINISTRAZIONI COMUNALI,REALIZZAZIONE DI LAVORI PUBBLICI (OPERE ED IMPIANTISTICA),MANUTENZIONE STRAORDINARIA DI MIGLIORAMENTO SISMICO,INFRASTRUTTURE SOCIALI,ABITATIVE,EDIFICI DANNEGGIATI DA CALAMITA' NATURALI,EDIFICIO DA DESTINARE A CIVILE ABITAZIONE PER IL SODDISFACIMENTO DEL FABBISOGNO ABITATIVO*BORGO PIANDEBUSSI 9*SISMA 2016 2017: RIPARAZIONE CON MIGLIORAMENTO SISMICO,2017,140000.0,140000.0,STATALE,ASSENTE-,0,"",https://opencup.gov.it/portale/progetto/-/cup/B96H17000040001
