Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,61,55.391,25.193,80.645,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Lombardia,,8.693,1.985,10.678,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Emilia-Romagna,,6.415,2.221,8.636,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Lazio,,5.253,2.393,7.646,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Piemonte,,5.648,1.741,7.389,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Sicilia,61,2.805,3.490,6.356,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Campania,,3.966,1.941,5.907,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Toscana,,3.853,1.286,5.139,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Veneto,,4.207,609,4.816,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Puglia,0,1.430,2.724,4.154,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Calabria,,1.482,2.200,3.682,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Liguria,,2.592,683,3.275,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.504,298,2.802,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Marche,,1.199,990,2.189,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Abruzzo,,1.128,522,1.650,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Trentino-Alto Adige,,1.198,349,1.547,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Basilicata,,830,517,1.347,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Umbria,,936,273,1.209,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Sardegna,,954,184,1.138,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Molise,,228,764,992,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
Valle d'Aosta,,70,23,93,cruscotto_statistico_giornaliero_31-10-2020-accoglienza.csv
