Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,354,63.233,23.016,86.603,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Lombardia,,9.967,2.031,11.998,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Emilia-Romagna,,6.780,2.002,8.782,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Piemonte,,6.479,1.715,8.194,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Lazio,,5.490,2.349,7.839,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Campania,,4.976,1.717,6.693,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Sicilia,354,3.223,2.649,6.226,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Veneto,,5.151,609,5.760,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Toscana,,4.447,1.279,5.726,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Puglia,0,1.963,2.379,4.342,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Calabria,,1.906,1.914,3.820,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Liguria,,2.781,697,3.478,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.308,307,2.615,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Marche,,1.355,870,2.225,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Trentino-Alto Adige,,1.550,364,1.914,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Abruzzo,,1.212,463,1.675,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Basilicata,,987,465,1.452,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Umbria,,1.112,307,1.419,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Sardegna,,1.054,217,1.271,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Molise,,391,658,1.049,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
Valle d'Aosta,,101,24,125,cruscotto_statistico_giornaliero_29-02-2020-accoglienza.csv
