Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,417,50.055,25.589,76.061,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Lombardia,,7.694,2.127,9.821,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Emilia-Romagna,,5.642,2.192,7.834,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Lazio,,5.092,1.892,6.984,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Piemonte,,4.930,1.914,6.844,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Sicilia,132,2.543,3.769,6.444,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Campania,,3.299,2.042,5.341,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Toscana,,3.354,1.374,4.728,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Puglia,285,1.693,2.726,4.704,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Calabria,,1.890,2.364,4.254,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Veneto,,3.612,585,4.197,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Liguria,,2.350,842,3.192,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.459,303,2.762,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Marche,,1.162,848,2.010,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Abruzzo,,879,556,1.435,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Basilicata,,731,563,1.294,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Umbria,,854,351,1.205,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Trentino-Alto Adige,,998,187,1.185,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Molise,,198,729,927,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Sardegna,,632,203,835,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
Valle d'Aosta,,43,22,65,cruscotto_statistico_giornaliero_31-05-2021-accoglienza.csv
