Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,142,101.514,36.047,137.703,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Lombardia,,14.715,3.056,17.771,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Emilia-Romagna,,9.628,3.403,13.031,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Lazio,,10.046,2.471,12.517,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Piemonte,,9.650,2.311,11.961,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Campania,,6.950,3.977,10.927,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Toscana,,8.186,1.784,9.970,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Sicilia,142,3.575,5.684,9.401,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Veneto,,8.200,777,8.977,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Puglia,0,3.746,3.255,7.001,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Calabria,0,3.194,3.061,6.255,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Liguria,,4.875,1.050,5.925,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Marche,,2.800,1.470,4.270,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.875,234,4.109,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Abruzzo,,3.155,875,4.030,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Sardegna,,2.535,263,2.798,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Umbria,,2.130,457,2.587,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Basilicata,,1.756,820,2.576,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Trentino-Alto Adige,,1.562,189,1.751,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Molise,,831,873,1.704,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
Valle d'Aosta,,105,37,142,cruscotto_statistico_giornaliero_15-05-2024-accoglienza.csv
