Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,2,52.398,27.285,79.685,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Lombardia,,7.661,2.156,9.817,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Emilia-Romagna,,6.197,2.391,8.588,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Piemonte,,5.549,1.835,7.384,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Lazio,,4.792,2.124,6.916,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Sicilia,2,1.993,4.191,6.186,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Toscana,,4.061,1.462,5.523,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Campania,,2.742,2.514,5.256,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Veneto,,3.903,583,4.486,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Puglia,0,1.532,2.662,4.194,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Liguria,,2.801,843,3.644,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Calabria,,1.169,2.406,3.575,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Friuli-Venezia Giulia,,2.751,294,3.045,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Marche,,1.585,1.039,2.624,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Abruzzo,,1.353,583,1.936,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Umbria,,1.266,368,1.634,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Basilicata,,911,672,1.583,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Trentino-Alto Adige,,1.176,181,1.357,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Molise,,354,734,1.088,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Sardegna,,563,224,787,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
Valle d'Aosta,,39,23,62,cruscotto_statistico_giornaliero_31-03-2022-accoglienza.csv
