Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,23,102.930,35.661,138.612,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Lombardia,,14.839,3.049,17.888,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Emilia-Romagna,,9.663,3.315,12.978,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Lazio,,10.152,2.466,12.618,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Piemonte,,9.665,2.300,11.965,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Campania,,7.067,3.988,11.055,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Toscana,,8.142,1.793,9.935,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Sicilia,23,3.837,5.514,9.372,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Veneto,,8.341,777,9.118,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Puglia,0,3.953,3.221,7.174,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Calabria,,3.474,3.052,6.526,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Liguria,,4.921,1.049,5.970,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Marche,,2.879,1.388,4.267,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Abruzzo,,3.221,887,4.108,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.809,228,4.037,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Sardegna,,2.527,261,2.788,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Basilicata,,1.836,808,2.644,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Umbria,,2.069,452,2.521,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Molise,,902,893,1.795,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Trentino-Alto Adige,,1.529,189,1.718,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
Valle d'Aosta,,104,31,135,cruscotto_statistico_giornaliero_15-04-2024-accoglienza.csv
