Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,258,61.888,22.299,84.445,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Lombardia,,9.659,1.969,11.628,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Emilia-Romagna,,6.686,2.016,8.702,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Lazio,,5.505,2.276,7.781,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Piemonte,,6.136,1.638,7.774,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Campania,,4.746,1.585,6.331,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Sicilia,258,3.342,2.625,6.225,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Toscana,,4.323,1.276,5.599,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Veneto,,4.912,596,5.508,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Puglia,0,1.895,2.370,4.265,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Calabria,,1.938,1.858,3.796,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Liguria,,2.713,682,3.395,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.596,284,2.880,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Marche,,1.204,872,2.076,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Trentino-Alto Adige,,1.448,357,1.805,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Abruzzo,,1.280,383,1.663,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Umbria,,1.150,271,1.421,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Basilicata,,943,416,1.359,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Sardegna,,983,186,1.169,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Molise,,339,614,953,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
Valle d'Aosta,,90,25,115,cruscotto_statistico_giornaliero_30-06-2020-accoglienza.csv
