Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,143,100.978,38.189,139.310,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Lombardia,,15.043,3.218,18.261,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Lazio,,10.339,2.539,12.878,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Emilia-Romagna,,8.957,3.645,12.602,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Piemonte,,9.250,2.456,11.706,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Campania,,7.075,4.005,11.080,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Toscana,,8.441,1.884,10.325,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Sicilia,1,3.975,6.076,10.052,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Veneto,,7.663,821,8.484,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Puglia,0,3.730,3.685,7.415,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Calabria,142,3.649,3.350,7.141,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Liguria,,4.620,1.057,5.677,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Marche,,2.705,1.519,4.224,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.974,232,4.206,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Abruzzo,,3.112,924,4.036,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Umbria,,2.246,468,2.714,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Basilicata,,1.755,879,2.634,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Sardegna,,2.104,283,2.387,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Molise,,754,925,1.679,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Trentino-Alto Adige,,1.480,186,1.666,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
Valle d'Aosta,,106,37,143,cruscotto_statistico_giornaliero_31-01-2025-accoglienza.csv
