Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,795,105.680,34.367,140.842,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Lombardia,,14.802,3.067,17.869,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Emilia-Romagna,,9.771,3.230,13.001,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Piemonte,,10.043,2.330,12.373,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Lazio,,9.791,2.442,12.233,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Campania,,7.233,3.796,11.029,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Toscana,,8.539,1.771,10.310,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Sicilia,627,4.213,5.151,9.991,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Veneto,,8.705,776,9.481,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Puglia,168,4.137,2.953,7.258,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Calabria,,3.696,2.923,6.619,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Liguria,,5.044,1.035,6.079,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.277,230,4.507,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Abruzzo,,3.394,881,4.275,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Marche,,2.845,1.332,4.177,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Umbria,,2.313,414,2.727,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Sardegna,,2.408,283,2.691,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Basilicata,,1.914,672,2.586,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Molise,,1.007,848,1.855,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Trentino-Alto Adige,,1.446,199,1.645,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
Valle d'Aosta,,102,34,136,cruscotto_statistico_giornaliero_31-10-2023-accoglienza.csv
