Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,180,54.343,25.574,80.097,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Lombardia,,8.291,2.115,10.406,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Emilia-Romagna,,6.006,2.240,8.246,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Lazio,,5.235,2.012,7.247,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Piemonte,,5.417,1.808,7.225,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Sicilia,180,2.450,3.763,6.393,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Campania,,3.839,1.975,5.814,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Toscana,,3.725,1.279,5.004,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Veneto,,3.926,605,4.531,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Puglia,0,1.376,2.764,4.140,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Calabria,,1.543,2.196,3.739,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Liguria,,2.449,811,3.260,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.459,304,2.763,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Marche,,1.191,874,2.065,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Abruzzo,,1.000,532,1.532,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Trentino-Alto Adige,,1.116,255,1.371,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Basilicata,,825,542,1.367,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Umbria,,933,336,1.269,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Sardegna,,791,219,1.010,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Molise,,201,746,947,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
Valle d'Aosta,,60,23,83,cruscotto_statistico_giornaliero_31-01-2021-accoglienza.csv
