Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,166,104.597,34.816,139.579,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Lombardia,,14.880,3.024,17.904,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Emilia-Romagna,,9.649,3.325,12.974,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Piemonte,,10.131,2.329,12.460,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Lazio,,9.766,2.486,12.252,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Campania,,7.173,3.923,11.096,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Toscana,,8.261,1.799,10.060,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Sicilia,88,4.046,5.192,9.326,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Veneto,,8.519,764,9.283,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Puglia,78,3.995,3.045,7.118,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Calabria,,3.268,2.909,6.177,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Liguria,,4.924,1.027,5.951,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Friuli-Venezia Giulia,,4.296,238,4.534,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Marche,,3.035,1.307,4.342,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Abruzzo,,3.373,886,4.259,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Sardegna,,2.539,273,2.812,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Umbria,,2.266,437,2.703,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Basilicata,,1.901,795,2.696,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Molise,,1.000,832,1.832,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Trentino-Alto Adige,,1.472,191,1.663,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
Valle d'Aosta,,103,34,137,cruscotto_statistico_giornaliero_15-01-2024-accoglienza.csv
