Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1,99.638,38.207,137.846,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Lombardia,,14.927,3.229,18.156,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Lazio,,10.548,2.549,13.097,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Emilia-Romagna,,8.946,3.671,12.617,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Piemonte,,9.043,2.447,11.490,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Campania,,6.765,4.019,10.784,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Toscana,,8.334,1.897,10.231,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Sicilia,1,3.883,6.063,9.947,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Veneto,,7.654,821,8.475,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Puglia,0,3.610,3.660,7.270,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Calabria,0,3.704,3.327,7.031,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Liguria,,4.519,1.037,5.556,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Marche,,2.545,1.530,4.075,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Abruzzo,,3.091,922,4.013,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.763,234,3.997,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Umbria,,2.253,469,2.722,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Basilicata,,1.624,887,2.511,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Sardegna,,2.131,295,2.426,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Molise,,733,929,1.662,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Trentino-Alto Adige,,1.460,189,1.649,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
Valle d'Aosta,,105,32,137,cruscotto_statistico_giornaliero_15-03-2025-accoglienza.csv
