Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.276,70.810,33.439,105.525,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Lombardia,,9.152,3.056,12.208,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Emilia-Romagna,,7.358,3.040,10.398,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Sicilia,1.171,3.379,4.991,9.541,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Lazio,,6.547,2.737,9.284,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Piemonte,,6.931,2.260,9.191,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Toscana,,5.397,1.737,7.134,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Campania,,3.697,3.128,6.825,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Veneto,,5.663,729,6.392,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Calabria,,2.185,2.906,5.091,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Puglia,105,1.872,3.014,4.991,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Liguria,,3.894,1.019,4.913,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Friuli-Venezia Giulia,,4.225,253,4.478,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Marche,,2.225,1.212,3.437,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Abruzzo,,1.883,822,2.705,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Umbria,,1.657,436,2.093,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Basilicata,,1.256,734,1.990,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Trentino-Alto Adige,,1.509,205,1.714,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Molise,,719,870,1.589,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Sardegna,,1.160,259,1.419,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
Valle d'Aosta,,101,31,132,cruscotto_statistico_giornaliero_15-12-2022-accoglienza.csv
