Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,372,51.382,25.320,77.074,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Lombardia,,7.971,2.065,10.036,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Emilia-Romagna,,5.872,2.228,8.100,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Lazio,,5.098,1.901,6.999,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Piemonte,,5.054,1.826,6.880,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Sicilia,372,2.569,3.806,6.747,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Campania,,3.509,1.934,5.443,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Toscana,,3.542,1.344,4.886,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Veneto,,3.766,621,4.387,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Puglia,0,1.583,2.714,4.297,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Calabria,,1.699,2.323,4.022,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Liguria,,2.376,829,3.205,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.478,300,2.778,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Marche,,1.165,818,1.983,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Abruzzo,,972,530,1.502,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Basilicata,,768,559,1.327,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Umbria,,961,348,1.309,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Trentino-Alto Adige,,1.059,188,1.247,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Sardegna,,727,213,940,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Molise,,154,749,903,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
Valle d'Aosta,,59,24,83,cruscotto_statistico_giornaliero_31-03-2021-accoglienza.csv
