Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,217,57.496,24.359,82.072,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Lombardia,,9.034,1.927,10.961,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Emilia-Romagna,,6.519,2.240,8.759,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Lazio,,5.350,2.344,7.694,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Piemonte,,5.928,1.714,7.642,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Sicilia,217,2.909,3.442,6.568,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Campania,,4.236,1.807,6.043,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Toscana,,3.932,1.282,5.214,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Veneto,,4.368,630,4.998,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Puglia,0,1.413,2.513,3.926,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Calabria,,1.684,2.069,3.753,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Liguria,,2.626,690,3.316,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.618,309,2.927,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Marche,,1.068,987,2.055,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Abruzzo,,1.194,496,1.690,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Trentino-Alto Adige,,1.293,351,1.644,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Basilicata,,876,450,1.326,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Sardegna,,1.108,177,1.285,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Umbria,,982,262,1.244,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Molise,,275,646,921,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
Valle d'Aosta,,83,23,106,cruscotto_statistico_giornaliero_30-09-2020-accoglienza.csv
