Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,274,62.741,22.214,85.229,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Lombardia,,9.822,1.999,11.821,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Emilia-Romagna,,6.706,2.034,8.740,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Piemonte,,6.288,1.723,8.011,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Lazio,,5.420,2.281,7.701,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Campania,,4.803,1.519,6.322,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Sicilia,274,3.494,2.461,6.229,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Toscana,,4.339,1.290,5.629,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Veneto,,5.017,609,5.626,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Puglia,0,1.914,2.231,4.145,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Calabria,,2.027,1.865,3.892,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Liguria,,2.753,657,3.410,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.580,298,2.878,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Marche,,1.302,843,2.145,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Trentino-Alto Adige,,1.481,359,1.840,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Abruzzo,,1.278,442,1.720,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Umbria,,1.099,307,1.406,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Basilicata,,942,436,1.378,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Sardegna,,1.021,206,1.227,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Molise,,361,631,992,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
Valle d'Aosta,,94,23,117,cruscotto_statistico_giornaliero_30-04-2020-accoglienza.csv
