Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,732,99.743,36.813,137.288,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Lombardia,,14.880,3.106,17.986,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Emilia-Romagna,,9.414,3.523,12.937,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Lazio,,10.221,2.468,12.689,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Piemonte,,9.263,2.287,11.550,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Campania,,6.738,4.004,10.742,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Sicilia,662,3.596,5.887,10.145,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Toscana,,8.053,1.829,9.882,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Veneto,,8.073,784,8.857,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Puglia,0,3.548,3.435,6.983,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Calabria,70,3.303,3.117,6.490,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Liguria,,4.565,1.053,5.618,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Marche,,2.705,1.482,4.187,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Abruzzo,,3.230,920,4.150,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.867,221,4.088,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Umbria,,2.138,469,2.607,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Basilicata,,1.622,855,2.477,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Sardegna,,2.143,258,2.401,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Trentino-Alto Adige,,1.525,171,1.696,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Molise,,750,909,1.659,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
Valle d'Aosta,,109,35,144,cruscotto_statistico_giornaliero_31-07-2024-accoglienza.csv
