Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,289,103.616,34.816,138.721,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Lombardia,,14.694,3.024,17.718,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Emilia-Romagna,,9.560,3.325,12.885,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Piemonte,,10.100,2.329,12.429,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Lazio,,9.758,2.486,12.244,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Campania,,7.050,3.923,10.973,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Toscana,,8.189,1.799,9.988,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Sicilia,233,3.869,5.192,9.294,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Veneto,,8.469,764,9.233,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Puglia,56,4.027,3.045,7.128,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Calabria,,3.211,2.909,6.120,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Liguria,,4.980,1.027,6.007,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Friuli-Venezia Giulia,,4.167,238,4.405,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Marche,,2.978,1.307,4.285,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Abruzzo,,3.331,886,4.217,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Sardegna,,2.523,273,2.796,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Umbria,,2.242,437,2.679,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Basilicata,,1.882,795,2.677,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Molise,,973,832,1.805,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Trentino-Alto Adige,,1.506,191,1.697,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
Valle d'Aosta,,107,34,141,cruscotto_statistico_giornaliero_31-01-2024-accoglienza.csv
