Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,542,100.513,36.047,137.102,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Lombardia,,14.584,3.056,17.640,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Emilia-Romagna,,9.593,3.403,12.996,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Lazio,,10.082,2.471,12.553,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Piemonte,,9.418,2.311,11.729,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Campania,,6.908,3.977,10.885,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Toscana,,8.094,1.784,9.878,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Sicilia,542,3.471,5.684,9.697,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Veneto,,8.135,777,8.912,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Puglia,0,3.687,3.255,6.942,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Calabria,0,3.208,3.061,6.269,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Liguria,,4.830,1.050,5.880,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Marche,,2.787,1.470,4.257,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.839,234,4.073,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Abruzzo,,3.147,875,4.022,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Umbria,,2.164,457,2.621,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Sardegna,,2.355,263,2.618,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Basilicata,,1.749,820,2.569,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Trentino-Alto Adige,,1.557,189,1.746,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Molise,,803,873,1.676,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
Valle d'Aosta,,102,37,139,cruscotto_statistico_giornaliero_31-05-2024-accoglienza.csv
