Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,256,104.736,35.014,140.006,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Lombardia,,15.058,3.027,18.085,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Emilia-Romagna,,9.729,3.295,13.024,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Piemonte,,10.182,2.306,12.488,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Lazio,,9.754,2.432,12.186,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Campania,,7.173,3.922,11.095,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Toscana,,7.823,1.810,9.633,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Sicilia,116,4.016,5.334,9.466,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Veneto,,8.727,774,9.501,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Puglia,140,4.151,3.095,7.386,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Calabria,,3.329,2.926,6.255,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Liguria,,4.870,1.051,5.921,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.264,241,4.505,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Marche,,3.037,1.336,4.373,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Abruzzo,,3.380,910,4.290,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Umbria,,2.320,448,2.768,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Sardegna,,2.454,288,2.742,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Basilicata,,1.900,745,2.645,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Molise,,997,850,1.847,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Trentino-Alto Adige,,1.468,190,1.658,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
Valle d'Aosta,,104,34,138,cruscotto_statistico_giornaliero_15-12-2023-accoglienza.csv
