Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.411,49.577,25.756,76.744,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Lombardia,,7.648,2.131,9.779,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Emilia-Romagna,,5.622,2.193,7.815,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Sicilia,1.194,2.428,3.768,7.390,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Lazio,,5.091,1.893,6.984,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Piemonte,,4.956,1.863,6.819,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Campania,,3.301,2.132,5.433,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Toscana,,3.372,1.338,4.710,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Puglia,217,1.683,2.674,4.574,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Veneto,,3.575,594,4.169,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Calabria,,1.417,2.564,3.981,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Liguria,,2.384,833,3.217,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.506,304,2.810,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Marche,,1.176,830,2.006,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Abruzzo,,891,543,1.434,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Basilicata,,705,565,1.270,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Umbria,,863,347,1.210,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Trentino-Alto Adige,,983,187,1.170,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Molise,,217,770,987,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Sardegna,,717,205,922,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
Valle d'Aosta,,42,22,64,cruscotto_statistico_giornaliero_15-06-2021-accoglienza.csv
