Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,2.599,95.436,34.761,132.796,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Lombardia,,13.724,3.090,16.814,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Emilia-Romagna,,9.387,3.185,12.572,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Sicilia,2.429,3.997,5.332,11.758,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Piemonte,,9.234,2.342,11.576,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Lazio,,8.572,2.407,10.979,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Campania,,6.375,3.839,10.214,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Toscana,,7.601,1.798,9.399,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Veneto,,7.436,750,8.186,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Puglia,170,3.231,3.159,6.560,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Calabria,,3.157,2.935,6.092,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Liguria,,4.648,1.025,5.673,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.179,230,4.409,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Marche,,2.750,1.315,4.065,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Abruzzo,,3.010,864,3.874,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Umbria,,2.102,399,2.501,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Basilicata,,1.720,733,2.453,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Sardegna,,1.838,260,2.098,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Molise,,875,868,1.743,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Trentino-Alto Adige,,1.497,203,1.700,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
Valle d'Aosta,,103,27,130,cruscotto_statistico_giornaliero_15-08-2023-accoglienza.csv
