Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,145,72.817,33.848,106.810,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Lombardia,,9.364,3.063,12.427,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Emilia-Romagna,,7.456,3.040,10.496,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Piemonte,,7.296,2.293,9.589,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Lazio,,6.736,2.762,9.498,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Sicilia,145,3.483,5.042,8.670,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Toscana,,5.700,1.747,7.447,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Campania,,3.919,3.102,7.021,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Veneto,,5.998,728,6.726,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Calabria,,1.990,2.976,4.966,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Liguria,,3.936,1.025,4.961,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Puglia,,1.691,3.157,4.848,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.225,239,4.464,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Marche,,2.306,1.255,3.561,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Abruzzo,,1.996,841,2.837,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Umbria,,1.704,434,2.138,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Basilicata,,1.344,764,2.108,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Trentino-Alto Adige,,1.624,204,1.828,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Molise,,841,892,1.733,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Sardegna,,1.105,253,1.358,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
Valle d'Aosta,,103,31,134,cruscotto_statistico_giornaliero_31-01-2023-accoglienza.csv
