Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,634,100.555,39.153,140.342,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Lombardia,,14.273,3.307,17.580,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Lazio,,10.841,2.726,13.567,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Emilia-Romagna,,8.474,3.771,12.245,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Piemonte,,9.016,2.503,11.519,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Campania,,6.926,4.131,11.057,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Sicilia,442,4.238,6.206,10.886,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Toscana,,8.541,1.944,10.485,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Veneto,,7.676,810,8.486,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Calabria,192,3.990,3.447,7.629,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Puglia,0,3.406,3.735,7.141,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Liguria,,4.800,1.030,5.830,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Abruzzo,,3.393,940,4.333,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.909,246,4.155,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Marche,,2.257,1.547,3.804,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Umbria,,2.341,473,2.814,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Sardegna,,2.462,284,2.746,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Basilicata,,1.618,877,2.495,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Molise,,872,933,1.805,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Trentino-Alto Adige,,1.420,206,1.626,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
Valle d'Aosta,,102,37,139,cruscotto_statistico_giornaliero_31-08-2025-accoglienza.csv
