Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,121,49.904,25.407,75.432,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Lombardia,,7.798,2.100,9.898,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Emilia-Romagna,,5.747,2.198,7.945,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Lazio,,5.114,1.864,6.978,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Piemonte,,4.964,1.868,6.832,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Sicilia,121,2.187,3.826,6.134,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Campania,,3.423,2.050,5.473,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Toscana,,3.415,1.367,4.782,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Puglia,0,1.644,2.635,4.279,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Veneto,,3.672,584,4.256,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Calabria,,1.600,2.411,4.011,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Liguria,,2.365,820,3.185,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.418,300,2.718,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Marche,,1.130,815,1.945,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Abruzzo,,945,536,1.481,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Basilicata,,745,554,1.299,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Trentino-Alto Adige,,1.024,187,1.211,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Umbria,,870,335,1.205,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Sardegna,,667,213,880,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Molise,,138,724,862,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
Valle d'Aosta,,38,20,58,cruscotto_statistico_giornaliero_30-04-2021-accoglienza.csv
