Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,88,55.040,25.574,80.702,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Lombardia,,8.477,2.066,10.543,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Emilia-Romagna,,6.281,2.223,8.504,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Lazio,,5.380,2.133,7.513,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Piemonte,,5.553,1.774,7.327,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Sicilia,88,2.661,3.849,6.598,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Campania,,3.971,1.913,5.884,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Toscana,,3.890,1.246,5.136,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Veneto,,4.058,600,4.658,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Puglia,0,1.483,2.795,4.278,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Calabria,,1.778,2.184,3.962,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Liguria,,2.507,832,3.339,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.535,310,2.845,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Marche,,1.244,930,2.174,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Abruzzo,,1.106,529,1.635,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Trentino-Alto Adige,,1.149,297,1.446,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Basilicata,,858,550,1.408,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Umbria,,964,335,1.299,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Sardegna,,827,226,1.053,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Molise,,259,759,1.018,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
Valle d'Aosta,,59,23,82,cruscotto_statistico_giornaliero_15-12-2020-accoglienza.csv
