Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.397,66.665,31.733,99.795,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Lombardia,,8.600,2.745,11.345,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Emilia-Romagna,,7.153,2.960,10.113,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Sicilia,1.370,3.361,4.663,9.394,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Lazio,,5.997,2.538,8.535,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Piemonte,,6.340,2.116,8.456,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Toscana,,5.067,1.672,6.739,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Campania,,3.081,2.971,6.052,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Veneto,,5.329,625,5.954,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Friuli-Venezia Giulia,,4.654,276,4.930,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Calabria,,1.844,2.885,4.729,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Liguria,,3.725,972,4.697,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Puglia,27,1.686,2.979,4.692,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Marche,,2.219,1.150,3.369,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Abruzzo,,1.702,699,2.401,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Umbria,,1.562,422,1.984,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Basilicata,,1.144,717,1.861,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Trentino-Alto Adige,,1.587,213,1.800,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Molise,,686,856,1.542,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Sardegna,,844,243,1.087,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
Valle d'Aosta,,84,31,115,cruscotto_statistico_giornaliero_15-09-2022_1-accoglienza.csv
