Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,929,100.340,36.944,138.213,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Lombardia,,14.965,3.098,18.063,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Emilia-Romagna,,9.315,3.557,12.872,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Lazio,,10.243,2.441,12.684,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Piemonte,,9.156,2.308,11.464,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Campania,,6.871,4.032,10.903,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Sicilia,906,3.647,5.893,10.446,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Toscana,,8.170,1.831,10.001,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Veneto,,8.094,785,8.879,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Puglia,0,3.619,3.414,7.033,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Calabria,23,3.547,3.222,6.792,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Liguria,,4.554,1.045,5.599,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Marche,,2.664,1.488,4.152,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.945,204,4.149,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Abruzzo,,3.218,913,4.131,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Umbria,,2.155,471,2.626,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Basilicata,,1.671,859,2.530,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Sardegna,,2.117,257,2.374,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Molise,,774,918,1.692,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Trentino-Alto Adige,,1.505,172,1.677,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
Valle d'Aosta,,110,36,146,cruscotto_statistico_giornaliero_31-08-2024-accoglienza.csv
