Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,749,58.641,29.528,88.918,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Lombardia,,7.832,2.474,10.306,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Emilia-Romagna,,6.765,2.695,9.460,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Piemonte,,6.001,2.027,8.028,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Lazio,,5.559,2.338,7.897,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Sicilia,638,2.397,4.488,7.523,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Toscana,,4.645,1.589,6.234,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Veneto,,4.842,612,5.454,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Campania,,2.602,2.591,5.193,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Puglia,111,1.653,2.792,4.556,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Liguria,,3.292,937,4.229,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Calabria,,1.234,2.635,3.869,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Friuli-Venezia Giulia,,3.245,288,3.533,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Marche,,1.905,1.125,3.030,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Abruzzo,,1.458,619,2.077,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Umbria,,1.541,406,1.947,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Trentino-Alto Adige,,1.498,180,1.678,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Basilicata,,951,698,1.649,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Molise,,480,767,1.247,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Sardegna,,705,239,944,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
Valle d'Aosta,,36,28,64,cruscotto_statistico_giornaliero_15-06-2022-accoglienza.csv
