Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,457,53.893,26.136,80.486,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Lombardia,,8.004,2.308,10.312,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Emilia-Romagna,,5.797,2.220,8.017,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Piemonte,,5.586,1.799,7.385,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Lazio,,4.984,1.976,6.960,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Sicilia,188,2.474,3.995,6.657,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Campania,,3.424,2.071,5.495,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Toscana,,3.618,1.387,5.005,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Puglia,269,1.758,2.698,4.725,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Calabria,,2.105,2.410,4.515,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Veneto,,3.770,576,4.346,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Liguria,,2.454,847,3.301,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.729,297,3.026,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Marche,,1.582,924,2.506,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Abruzzo,,1.187,555,1.742,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Basilicata,,940,590,1.530,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Umbria,,1.167,328,1.495,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Molise,,404,743,1.147,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Trentino-Alto Adige,,943,187,1.130,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Sardegna,,923,205,1.128,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
Valle d'Aosta,,44,20,64,cruscotto_statistico_giornaliero_31-10-2021-accoglienza.csv
