Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,158,50.626,26.528,77.312,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Lombardia,,7.717,2.099,9.816,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Emilia-Romagna,,5.541,2.323,7.864,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Piemonte,,5.276,1.831,7.107,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Lazio,,4.834,2.039,6.873,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Sicilia,158,2.269,4.059,6.486,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Campania,,2.950,2.336,5.286,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Toscana,,3.613,1.407,5.020,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Puglia,0,1.591,2.610,4.201,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Veneto,,3.627,570,4.197,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Calabria,,1.260,2.458,3.718,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Liguria,,2.551,835,3.386,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Friuli-Venezia Giulia,,2.527,292,2.819,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Marche,,1.590,919,2.509,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Abruzzo,,1.216,579,1.795,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Basilicata,,986,670,1.656,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Umbria,,1.155,348,1.503,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Trentino-Alto Adige,,930,180,1.110,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Molise,,368,731,1.099,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Sardegna,,596,219,815,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
Valle d'Aosta,,29,23,52,cruscotto_statistico_giornaliero_15-02-2022-accoglienza.csv
