Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,856,98.953,36.944,136.753,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Lombardia,,14.024,3.098,17.122,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Emilia-Romagna,,9.346,3.557,12.903,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Lazio,,10.234,2.441,12.675,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Piemonte,,9.256,2.308,11.564,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Campania,,6.827,4.032,10.859,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Sicilia,624,3.639,5.893,10.156,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Toscana,,8.075,1.831,9.906,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Veneto,,8.106,785,8.891,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Puglia,0,3.588,3.414,7.002,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Calabria,232,3.330,3.222,6.784,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Liguria,,4.508,1.045,5.553,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Abruzzo,,3.253,913,4.166,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Marche,,2.669,1.488,4.157,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.887,204,4.091,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Umbria,,2.105,471,2.576,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Basilicata,,1.640,859,2.499,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Sardegna,,2.071,257,2.328,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Trentino-Alto Adige,,1.518,172,1.690,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Molise,,768,918,1.686,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
Valle d'Aosta,,109,36,145,cruscotto_statistico_giornaliero_15-08-2024-accoglienza.csv
