Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,62,71.125,24.568,95.755,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Lombardia,,11.280,2.081,13.361,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Emilia-Romagna,,7.322,2.210,9.532,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Lazio,,6.013,2.837,8.850,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Piemonte,,7.000,1.739,8.739,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Campania,,5.742,1.818,7.560,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Toscana,,5.251,1.305,6.556,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Sicilia,62,3.472,2.964,6.498,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Veneto,,5.638,676,6.314,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Puglia,0,2.472,2.363,4.835,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Calabria,,2.268,1.973,4.241,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Liguria,,3.125,695,3.820,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Friuli-Venezia Giulia,,2.648,333,2.981,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Marche,,1.607,955,2.562,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Trentino-Alto Adige,,1.812,361,2.173,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Abruzzo,,1.253,494,1.747,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Umbria,,1.242,344,1.586,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Basilicata,,1.040,495,1.535,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Sardegna,,1.294,229,1.523,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Molise,,513,672,1.185,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
Valle d'Aosta,,133,24,157,cruscotto_statistico_giornaliero_15-11-2019-accoglienza.csv
