Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,62,50.832,27.285,78.179,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Lombardia,,7.609,2.156,9.765,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Emilia-Romagna,,5.820,2.391,8.211,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Piemonte,,5.431,1.835,7.266,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Lazio,,4.708,2.124,6.832,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Sicilia,62,2.234,4.191,6.487,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Campania,,2.794,2.514,5.308,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Toscana,,3.759,1.462,5.221,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Veneto,,3.631,583,4.214,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Puglia,0,1.502,2.662,4.164,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Calabria,,1.330,2.406,3.736,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Liguria,,2.511,843,3.354,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Friuli-Venezia Giulia,,2.580,294,2.874,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Marche,,1.525,1.039,2.564,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Abruzzo,,1.286,583,1.869,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Basilicata,,958,672,1.630,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Umbria,,1.132,368,1.500,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Trentino-Alto Adige,,1.057,181,1.238,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Molise,,362,734,1.096,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Sardegna,,573,224,797,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
Valle d'Aosta,,30,23,53,cruscotto_statistico_giornaliero_15-03-2022-accoglienza.csv
