Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1.122,61.421,22.955,85.498,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Lombardia,,9.540,1.951,11.491,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Emilia-Romagna,,6.621,2.041,8.662,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Piemonte,,6.042,1.705,7.747,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Lazio,,5.392,2.275,7.667,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Sicilia,874,3.422,2.950,7.246,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Campania,,4.671,1.586,6.257,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Toscana,,4.267,1.291,5.558,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Veneto,,4.792,631,5.423,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Puglia,248,1.896,2.475,4.619,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Calabria,,2.021,1.858,3.879,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Liguria,,2.714,688,3.402,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.635,305,2.940,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Marche,,1.226,893,2.119,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Trentino-Alto Adige,,1.434,356,1.790,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Abruzzo,,1.216,421,1.637,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Umbria,,1.141,280,1.421,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Basilicata,,927,430,1.357,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Sardegna,,1.051,181,1.232,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Molise,,325,615,940,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
Valle d'Aosta,,88,23,111,cruscotto_statistico_giornaliero_15-07-2020-accoglienza.csv
