Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,561,51.128,25.213,76.902,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Lombardia,,7.423,2.082,9.505,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Emilia-Romagna,,5.722,2.192,7.914,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Lazio,,4.942,1.915,6.857,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Piemonte,,5.064,1.729,6.793,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Sicilia,561,2.580,3.649,6.790,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Campania,,3.362,2.008,5.370,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Toscana,,3.425,1.377,4.802,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Calabria,,2.079,2.532,4.611,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Puglia,0,1.735,2.662,4.397,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Veneto,,3.691,577,4.268,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Liguria,,2.407,810,3.217,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.608,302,2.910,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Marche,,1.324,819,2.143,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Abruzzo,,1.052,515,1.567,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Basilicata,,819,557,1.376,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Umbria,,991,333,1.324,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Trentino-Alto Adige,,948,186,1.134,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Molise,,280,757,1.037,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Sardegna,,633,189,822,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
Valle d'Aosta,,43,22,65,cruscotto_statistico_giornaliero_15-08-2021-accoglienza.csv
