Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,667,53.487,25.221,79.375,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Lombardia,,7.984,2.051,10.035,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Emilia-Romagna,,5.722,2.274,7.996,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Piemonte,,5.626,1.755,7.381,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Sicilia,598,2.414,3.872,6.884,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Lazio,,4.950,1.901,6.851,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Campania,,3.411,2.090,5.501,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Toscana,,3.638,1.374,5.012,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Puglia,69,1.749,2.545,4.363,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Veneto,,3.798,550,4.348,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Calabria,,1.988,2.194,4.182,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Liguria,,2.417,846,3.263,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.764,286,3.050,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Marche,,1.604,908,2.512,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Abruzzo,,1.214,557,1.771,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Umbria,,1.164,332,1.496,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Basilicata,,896,588,1.484,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Molise,,432,694,1.126,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Trentino-Alto Adige,,935,179,1.114,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Sardegna,,742,205,947,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
Valle d'Aosta,,39,20,59,cruscotto_statistico_giornaliero_15-11-2021-accoglienza.csv
