Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,254,62.650,22.420,85.324,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Lombardia,,9.898,1.998,11.896,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Emilia-Romagna,,6.741,2.038,8.779,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Piemonte,,6.375,1.686,8.061,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Lazio,,5.462,2.298,7.760,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Campania,,4.909,1.581,6.490,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Sicilia,254,3.102,2.620,5.976,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Veneto,,5.087,597,5.684,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Toscana,,4.369,1.289,5.658,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Puglia,0,1.921,2.196,4.117,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Calabria,,2.041,1.875,3.916,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Liguria,,2.771,677,3.448,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.335,303,2.638,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Marche,,1.299,839,2.138,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Trentino-Alto Adige,,1.519,358,1.877,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Abruzzo,,1.250,444,1.694,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Basilicata,,964,447,1.411,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Umbria,,1.087,308,1.395,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Sardegna,,1.049,222,1.271,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Molise,,374,620,994,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
Valle d'Aosta,,97,24,121,cruscotto_statistico_giornaliero_15-03-2020-accoglienza.csv
