Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,562,98.351,38.102,137.015,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Lombardia,,14.782,3.222,18.004,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Lazio,,10.518,2.557,13.075,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Emilia-Romagna,,8.746,3.640,12.386,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Piemonte,,8.854,2.446,11.300,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Campania,,6.670,4.021,10.691,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Sicilia,521,3.722,6.007,10.250,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Toscana,,8.311,1.896,10.207,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Veneto,,7.447,811,8.258,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Calabria,41,3.705,3.345,7.091,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Puglia,0,3.421,3.651,7.072,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Liguria,,4.515,1.033,5.548,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Abruzzo,,3.126,917,4.043,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Marche,,2.463,1.538,4.001,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.702,242,3.944,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Umbria,,2.287,469,2.756,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Basilicata,,1.606,893,2.499,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Sardegna,,2.167,283,2.450,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Molise,,755,914,1.669,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Trentino-Alto Adige,,1.451,185,1.636,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
Valle d'Aosta,,103,32,135,cruscotto_statistico_giornaliero_15-04-2025-accoglienza.csv
