Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,721,72.042,33.244,106.007,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Lombardia,,9.217,2.966,12.183,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Emilia-Romagna,,7.364,3.005,10.369,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Piemonte,,7.232,2.174,9.406,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Lazio,,6.655,2.668,9.323,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Sicilia,721,3.270,5.041,9.032,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Toscana,,5.741,1.728,7.469,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Campania,,3.852,3.120,6.972,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Veneto,,5.930,731,6.661,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Liguria,,3.946,1.017,4.963,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Calabria,,1.953,2.917,4.870,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Puglia,0,1.715,3.142,4.857,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.126,227,4.353,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Marche,,2.288,1.247,3.535,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Abruzzo,,2.100,794,2.894,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Umbria,,1.685,425,2.110,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Basilicata,,1.321,698,2.019,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Trentino-Alto Adige,,1.638,205,1.843,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Molise,,825,847,1.672,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Sardegna,,1.081,257,1.338,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
Valle d'Aosta,,103,35,138,cruscotto_statistico_giornaliero_15-02-2023-accoglienza.csv
