Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,917,73.514,33.848,108.279,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Lombardia,,9.517,3.063,12.580,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Emilia-Romagna,,7.564,3.040,10.604,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Piemonte,,7.381,2.293,9.674,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Lazio,,6.818,2.762,9.580,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Sicilia,838,3.493,5.042,9.373,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Toscana,,5.552,1.747,7.299,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Campania,,3.930,3.102,7.032,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Veneto,,5.916,728,6.644,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Calabria,,2.140,2.976,5.116,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Puglia,79,1.841,3.157,5.077,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Liguria,,3.974,1.025,4.999,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.246,239,4.485,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Marche,,2.348,1.255,3.603,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Abruzzo,,1.993,841,2.834,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Umbria,,1.749,434,2.183,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Basilicata,,1.352,764,2.116,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Molise,,883,892,1.775,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Trentino-Alto Adige,,1.559,204,1.763,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Sardegna,,1.155,253,1.408,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
Valle d'Aosta,,103,31,134,cruscotto_statistico_giornaliero_15-01-2023-accoglienza.csv
