Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,145,100.234,38.219,138.598,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Lombardia,,14.947,3.220,18.167,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Lazio,,10.440,2.557,12.997,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Emilia-Romagna,,8.957,3.668,12.625,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Piemonte,,9.241,2.457,11.698,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Campania,,6.871,4.023,10.894,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Toscana,,8.362,1.887,10.249,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Sicilia,58,3.817,6.114,9.989,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Veneto,,7.495,821,8.316,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Puglia,0,3.654,3.604,7.258,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Calabria,87,3.773,3.334,7.194,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Liguria,,4.562,1.055,5.617,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Marche,,2.677,1.530,4.207,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.923,240,4.163,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Abruzzo,,3.127,923,4.050,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Umbria,,2.284,470,2.754,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Basilicata,,1.698,873,2.571,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Sardegna,,2.110,293,2.403,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Trentino-Alto Adige,,1.462,188,1.650,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Molise,,724,925,1.649,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
Valle d'Aosta,,110,37,147,cruscotto_statistico_giornaliero_15-02-2025-accoglienza.csv
