Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,197,100.073,38.219,138.489,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Lombardia,,14.903,3.220,18.123,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Lazio,,10.554,2.557,13.111,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Emilia-Romagna,,8.949,3.668,12.617,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Piemonte,,9.133,2.457,11.590,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Campania,,6.842,4.023,10.865,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Toscana,,8.395,1.887,10.282,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Sicilia,197,3.876,6.114,10.187,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Veneto,,7.523,821,8.344,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Puglia,0,3.676,3.604,7.280,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Calabria,0,3.723,3.334,7.057,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Liguria,,4.569,1.055,5.624,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Marche,,2.589,1.530,4.119,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.862,240,4.102,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Abruzzo,,3.129,923,4.052,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Umbria,,2.277,470,2.747,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Basilicata,,1.639,873,2.512,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Sardegna,,2.121,293,2.414,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Molise,,736,925,1.661,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Trentino-Alto Adige,,1.467,188,1.655,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
Valle d'Aosta,,110,37,147,cruscotto_statistico_giornaliero_28-02-2025-accoglienza.csv
