Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.802,68.962,32.397,103.161,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Lombardia,,8.564,2.843,11.407,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Emilia-Romagna,,7.274,3.000,10.274,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Sicilia,1.563,3.456,4.830,9.849,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Lazio,,6.237,2.598,8.835,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Piemonte,,6.571,2.167,8.738,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Toscana,,5.183,1.674,6.857,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Campania,,3.453,3.007,6.460,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Veneto,,5.387,636,6.023,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Calabria,,2.710,2.856,5.566,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Puglia,239,1.875,3.104,5.218,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Liguria,,3.840,982,4.822,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Friuli-Venezia Giulia,,4.311,264,4.575,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Marche,,2.207,1.188,3.395,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Abruzzo,,1.841,719,2.560,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Umbria,,1.605,426,2.031,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Basilicata,,1.191,720,1.911,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Trentino-Alto Adige,,1.527,213,1.740,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Molise,,710,882,1.592,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Sardegna,,920,257,1.177,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
Valle d'Aosta,,100,31,131,cruscotto_statistico_giornaliero_31-10-2022-accoglienza.csv
