Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,2.022,99.849,34.761,136.632,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Lombardia,,14.340,3.090,17.430,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Emilia-Romagna,,9.713,3.185,12.898,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Piemonte,,9.720,2.342,12.062,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Lazio,,9.265,2.407,11.672,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Sicilia,1.796,4.135,5.332,11.263,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Campania,,6.547,3.839,10.386,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Toscana,,7.759,1.798,9.557,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Veneto,,7.707,750,8.457,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Puglia,226,3.597,3.159,6.982,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Calabria,,3.587,2.935,6.522,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Liguria,,4.707,1.025,5.732,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.222,230,4.452,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Marche,,2.843,1.315,4.158,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Abruzzo,,3.161,864,4.025,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Umbria,,2.277,399,2.676,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Basilicata,,1.835,733,2.568,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Sardegna,,1.916,260,2.176,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Molise,,935,868,1.803,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Trentino-Alto Adige,,1.481,203,1.684,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
Valle d'Aosta,,102,27,129,cruscotto_statistico_giornaliero_31-08-2023-accoglienza.csv
