Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,101,99.372,38.180,137.653,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Lombardia,,14.582,3.196,17.778,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Lazio,,10.662,2.588,13.250,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Emilia-Romagna,,8.860,3.630,12.490,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Piemonte,,8.894,2.448,11.342,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Campania,,6.879,4.059,10.938,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Toscana,,8.434,1.894,10.328,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Sicilia,21,3.861,6.025,9.907,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Veneto,,7.503,812,8.315,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Calabria,80,3.822,3.364,7.266,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Puglia,0,3.187,3.651,6.838,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Liguria,,4.638,1.033,5.671,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Abruzzo,,3.180,919,4.099,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Marche,,2.485,1.532,4.017,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.763,246,4.009,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Umbria,,2.303,468,2.771,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Basilicata,,1.669,892,2.561,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Sardegna,,2.228,291,2.519,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Molise,,860,902,1.762,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Trentino-Alto Adige,,1.460,193,1.653,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
Valle d'Aosta,,102,37,139,cruscotto_statistico_giornaliero_15-05-2025-accoglienza.csv
