Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,2.864,79.673,34.741,117.278,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Lombardia,,10.499,3.047,13.546,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Emilia-Romagna,,8.212,3.138,11.350,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Sicilia,2.680,3.266,5.282,11.228,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Piemonte,,7.957,2.340,10.297,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Lazio,,7.386,2.698,10.084,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Campania,,4.562,3.545,8.107,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Toscana,,6.314,1.745,8.059,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Veneto,,6.732,737,7.469,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Puglia,184,2.170,3.065,5.419,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Liguria,,4.259,1.077,5.336,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Calabria,,2.300,3.034,5.334,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Friuli-Venezia Giulia,,3.956,243,4.199,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Marche,,2.501,1.321,3.822,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Abruzzo,,2.442,931,3.373,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Umbria,,1.772,437,2.209,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Basilicata,,1.421,699,2.120,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Trentino-Alto Adige,,1.588,210,1.798,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Sardegna,,1.462,274,1.736,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Molise,,767,881,1.648,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
Valle d'Aosta,,107,37,144,cruscotto_statistico_giornaliero_30-04-2023-accoglienza.csv
