Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,712,101.582,35.341,137.544,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Lombardia,,14.569,3.053,17.622,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Emilia-Romagna,,9.540,3.335,12.875,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Lazio,,10.096,2.478,12.574,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Piemonte,,9.696,2.302,11.998,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Campania,,6.970,4.008,10.978,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Toscana,,8.048,1.793,9.841,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Sicilia,712,3.677,5.332,9.630,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Veneto,,8.176,775,8.951,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Puglia,0,3.766,3.185,6.951,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Calabria,,3.241,2.979,6.220,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Liguria,,4.904,1.042,5.946,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Marche,,2.843,1.403,4.246,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Friuli-Venezia Giulia,,3.874,226,4.100,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Abruzzo,,3.181,872,4.053,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Umbria,,2.225,444,2.669,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Sardegna,,2.406,261,2.667,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Basilicata,,1.848,792,2.640,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Molise,,902,835,1.737,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Trentino-Alto Adige,,1.515,195,1.710,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
Valle d'Aosta,,105,31,136,cruscotto_statistico_giornaliero_15-03-2024-accoglienza.csv
