Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SIPROIMI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,75,62.825,22.299,85.199,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Lombardia,,9.739,1.969,11.708,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Emilia-Romagna,,6.735,2.016,8.751,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Lazio,,5.575,2.276,7.851,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Piemonte,,6.197,1.638,7.835,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Campania,,4.814,1.585,6.399,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Sicilia,8,3.516,2.625,6.149,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Toscana,,4.368,1.276,5.644,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Veneto,,4.986,596,5.582,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Puglia,67,1.936,2.370,4.373,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Calabria,,2.013,1.858,3.871,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Liguria,,2.709,682,3.391,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Friuli-Venezia Giulia,,2.631,284,2.915,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Marche,,1.260,872,2.132,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Trentino-Alto Adige,,1.454,357,1.811,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Abruzzo,,1.335,383,1.718,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Umbria,,1.157,271,1.428,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Basilicata,,964,416,1.380,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Sardegna,,993,186,1.179,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Molise,,350,614,964,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
Valle d'Aosta,,93,25,118,cruscotto_statistico_giornaliero_15-06-2020_0-accoglienza.csv
