Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,398,52.308,25.715,78.421,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Lombardia,,7.899,2.049,9.948,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Emilia-Romagna,,5.588,2.263,7.851,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Piemonte,,5.394,1.811,7.205,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Lazio,,4.811,2.002,6.813,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Sicilia,179,2.364,3.874,6.417,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Campania,,3.058,2.240,5.298,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Toscana,,3.709,1.381,5.090,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Puglia,219,1.734,2.567,4.520,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Veneto,,3.675,557,4.232,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Calabria,,1.901,2.313,4.214,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Liguria,,2.467,839,3.306,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.610,287,2.897,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Marche,,1.598,914,2.512,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Abruzzo,,1.229,569,1.798,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Basilicata,,943,583,1.526,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Umbria,,1.178,346,1.524,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Trentino-Alto Adige,,925,182,1.107,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Molise,,374,688,1.062,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Sardegna,,816,225,1.041,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
Valle d'Aosta,,35,25,60,cruscotto_statistico_giornaliero_31-12-2021-accoglienza.csv
