Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,482,53.416,26.136,80.034,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Lombardia,,8.003,2.308,10.311,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Emilia-Romagna,,5.877,2.220,8.097,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Piemonte,,5.596,1.799,7.395,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Lazio,,5.042,1.976,7.018,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Sicilia,270,2.439,3.995,6.704,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Campania,,3.433,2.071,5.504,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Toscana,,3.656,1.387,5.043,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Puglia,212,1.686,2.698,4.596,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Veneto,,3.755,576,4.331,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Calabria,,1.829,2.410,4.239,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Liguria,,2.390,847,3.237,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.705,297,3.002,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Marche,,1.555,924,2.479,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Abruzzo,,1.177,555,1.732,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Basilicata,,980,590,1.570,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Umbria,,1.146,328,1.474,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Molise,,401,743,1.144,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Trentino-Alto Adige,,918,187,1.105,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Sardegna,,784,205,989,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
Valle d'Aosta,,44,20,64,cruscotto_statistico_giornaliero_15-10-2021-accoglienza.csv
