Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1.332,70.502,33.017,104.851,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Lombardia,,8.920,3.017,11.937,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Emilia-Romagna,,7.375,3.028,10.403,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Sicilia,1.242,3.560,4.875,9.677,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Lazio,,6.399,2.656,9.055,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Piemonte,,6.789,2.238,9.027,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Toscana,,5.353,1.709,7.062,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Campania,,3.616,3.080,6.696,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Veneto,,5.506,719,6.225,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Calabria,,2.415,2.879,5.294,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Puglia,90,1.829,3.037,4.956,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Liguria,,3.866,1.012,4.878,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Friuli-Venezia Giulia,,4.448,262,4.710,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Marche,,2.247,1.219,3.466,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Abruzzo,,1.873,766,2.639,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Umbria,,1.640,425,2.065,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Basilicata,,1.251,730,1.981,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Trentino-Alto Adige,,1.522,208,1.730,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Molise,,712,875,1.587,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Sardegna,,1.081,251,1.332,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
Valle d'Aosta,,100,31,131,cruscotto_statistico_giornaliero_15-11-2022-accoglienza.csv
