Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,974,101.471,37.803,140.248,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Lombardia,,15.036,3.177,18.213,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Lazio,,10.581,2.588,13.169,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Emilia-Romagna,,9.011,3.599,12.610,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Piemonte,,9.449,2.451,11.900,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Campania,,6.818,3.998,10.816,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Sicilia,689,3.843,5.973,10.505,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Toscana,,8.308,1.868,10.176,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Veneto,,7.884,790,8.674,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Calabria,285,3.663,3.344,7.292,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Puglia,0,3.642,3.572,7.214,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Liguria,,4.574,1.046,5.620,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Friuli-Venezia Giulia,,4.072,223,4.295,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Abruzzo,,3.294,924,4.218,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Marche,,2.724,1.494,4.218,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Umbria,,2.255,469,2.724,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Basilicata,,1.785,850,2.635,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Sardegna,,2.149,287,2.436,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Molise,,772,929,1.701,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Trentino-Alto Adige,,1.503,184,1.687,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
Valle d'Aosta,,108,37,145,cruscotto_statistico_giornaliero_30-11-2024-accoglienza.csv
