Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,598,98.363,38.102,137.063,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Lombardia,,14.855,3.222,18.077,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Lazio,,10.476,2.557,13.033,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Emilia-Romagna,,8.720,3.640,12.360,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Piemonte,,8.836,2.446,11.282,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Campania,,6.653,4.021,10.674,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Sicilia,535,3.746,6.007,10.288,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Toscana,,8.350,1.896,10.246,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Veneto,,7.482,811,8.293,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Calabria,63,3.703,3.345,7.111,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Puglia,0,3.184,3.651,6.835,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Liguria,,4.593,1.033,5.626,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Abruzzo,,3.137,917,4.054,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Friuli-Venezia Giulia,,3.768,242,4.010,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Marche,,2.449,1.538,3.987,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Umbria,,2.280,469,2.749,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Sardegna,,2.202,283,2.485,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Basilicata,,1.589,893,2.482,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Molise,,785,914,1.699,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Trentino-Alto Adige,,1.451,185,1.636,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
Valle d'Aosta,,104,32,136,cruscotto_statistico_giornaliero_30-04-2025-accoglienza.csv
