Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,983,49.413,25.756,76.152,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Lombardia,,7.554,2.131,9.685,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Emilia-Romagna,,5.657,2.193,7.850,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Sicilia,712,2.475,3.768,6.955,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Lazio,,5.005,1.893,6.898,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Piemonte,,4.881,1.863,6.744,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Campania,,3.271,2.132,5.403,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Puglia,271,1.783,2.674,4.728,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Toscana,,3.338,1.338,4.676,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Veneto,,3.578,594,4.172,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Calabria,,1.331,2.564,3.895,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Liguria,,2.355,833,3.188,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Friuli-Venezia Giulia,,2.533,304,2.837,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Marche,,1.180,830,2.010,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Abruzzo,,902,543,1.445,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Basilicata,,771,565,1.336,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Umbria,,892,347,1.239,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Trentino-Alto Adige,,969,187,1.156,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Molise,,270,770,1.040,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Sardegna,,626,205,831,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
Valle d'Aosta,,42,22,64,cruscotto_statistico_giornaliero_30-06-2021-accoglienza.csv
