Regione,Immigrati presenti negli hot spot,Immigrati presenti nei centri di accoglienza,Immigrati presenti nei centri SAI,Totale immigrati in accoglienza sul territorio,file
Totale complessivo,1.113,74.937,33.244,109.294,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Lombardia,,9.433,2.966,12.399,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Emilia-Romagna,,7.595,3.005,10.600,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Piemonte,,7.513,2.174,9.687,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Lazio,,6.872,2.668,9.540,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Sicilia,945,3.339,5.041,9.325,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Toscana,,5.982,1.728,7.710,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Campania,,4.139,3.120,7.259,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Veneto,,6.192,731,6.923,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Puglia,168,1.993,3.142,5.303,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Calabria,,2.378,2.917,5.295,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Liguria,,4.019,1.017,5.036,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.021,227,4.248,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Marche,,2.369,1.247,3.616,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Abruzzo,,2.193,794,2.987,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Umbria,,1.742,425,2.167,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Basilicata,,1.379,698,2.077,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Trentino-Alto Adige,,1.644,205,1.849,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Molise,,821,847,1.668,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Sardegna,,1.210,257,1.467,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
Valle d'Aosta,,103,35,138,cruscotto_statistico_giornaliero_28-02-2023-accoglienza.csv
