Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SAI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,790,81.034,35.223,116.834,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Lombardia,,10.964,3.112,14.076,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Emilia-Romagna,,8.206,3.204,11.410,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Lazio,,7.631,2.737,10.368,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Piemonte,,7.961,2.359,10.320,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Sicilia,594,3.125,5.425,8.931,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Campania,,4.981,3.514,8.495,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Toscana,,6.493,1.778,8.271,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Veneto,,6.703,742,7.445,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Puglia,196,2.274,3.149,5.619,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Calabria,,2.339,3.090,5.429,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Liguria,,4.235,1.084,5.319,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Friuli-Venezia Giulia,,4.021,247,4.268,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Marche,,2.395,1.325,3.720,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Abruzzo,,2.452,871,3.323,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Umbria,,1.793,441,2.234,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Basilicata,,1.401,721,2.122,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Sardegna,,1.608,278,1.886,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Trentino-Alto Adige,,1.578,210,1.788,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Molise,,765,899,1.664,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
Valle d'Aosta,,109,37,146,cruscotto_statistico_giornaliero_31-05-2023-accoglienza.csv
