Regione,Migranti presenti negli hot spot,Migranti presenti nei centri di accoglienza,Migranti presenti nei centri SIPROIMI,Totale migranti in accoglienza sul territorio,file
Totale complessivo,1.248,59.900,23.409,84.557,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Lombardia,,9.216,1.913,11.129,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Emilia-Romagna,,6.521,2.210,8.731,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Sicilia,1.248,3.515,3.178,7.941,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Lazio,,5.480,2.292,7.772,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Piemonte,,6.056,1.696,7.752,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Campania,,4.460,1.692,6.152,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Toscana,,4.164,1.296,5.460,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Veneto,,4.563,636,5.199,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Puglia,0,1.553,2.492,4.045,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Calabria,,1.728,1.852,3.580,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Liguria,,2.663,683,3.346,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Friuli-Venezia Giulia,,2.675,309,2.984,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Marche,,1.105,917,2.022,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Trentino-Alto Adige,,1.352,351,1.703,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Abruzzo,,1.279,396,1.675,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Umbria,,1.102,274,1.376,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Basilicata,,931,433,1.364,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Sardegna,,1.091,175,1.266,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Molise,,358,591,949,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
Valle d'Aosta,,88,23,111,cruscotto_statistico_giornaliero_31-08-2020-accoglienza.csv
